path	bytes	lines	sha1
Code/ZLib/zlib.h	99258	1935	ac8b9202a17075cd15fe2cdd76d7d34827d4a14e
Code/ZLib/ZLib.vcxproj	11833	219	fc2735b04fbddddb8c7c8ebf509db25b5bce4c58
Code/ZLib/ZLib.vcxproj.filters	3292	99	42d134dfaefd7e72fe39e783d9187f6af3b5ce02
Code/ZLib/zutil.c	7667	327	536f8cc887c500b522e4ef43acc635301ef150c8
Code/ZLib/zutil.h	7543	274	0d1c2f876f77abc56f6e828fa077ce9a4035d1a7
Code/ZLibWrapper/UnCompressFile.cpp	1191	44	d7bd0bec55c3fa92904858c7e808bdd42624c877
Code/ZLibWrapper/ZLibWrapper.vcxproj	6002	122	e27d57f6a06aec62573668c541c059709011d0fc
Code/ZLibWrapper/ZLibWrapper.vcxproj.filters	987	22	8a155c9a9208688188762f4562870eb3fdfbc20b
LICENSE.txt	1090	21	73f3e59e24b1dd76f660a3dcf8bb80ed235185ac
README.md	2119	37	9633f0b21f4f624c3ff4329c9d9baad78ebe970a
tasks/todo.md	1106	30	bcf91a6bc19968f39c1b4073fec87c43fabd5790
