address	name	signature
0x00584d78	CFastVB__Unk_00584d78	void __thiscall CFastVB__Unk_00584d78(void * this, void * param_1, int param_2, int param_3, void * param_4)
0x00584e32	CFastVB__Unk_00584e32	void __thiscall CFastVB__Unk_00584e32(void * this, void * param_1, int param_2, int param_3, void * param_4)
0x00584ee9	CFastVB__Unk_00584ee9	void __thiscall CFastVB__Unk_00584ee9(void * this, void * param_1, int param_2, int param_3, void * param_4)
0x00584fae	CFastVB__Unk_00584fae	void __thiscall CFastVB__Unk_00584fae(void * this, void * param_1, int param_2, int param_3, void * param_4)
0x00585072	CFastVB__Unk_00585072	void __thiscall CFastVB__Unk_00585072(void * this, void * param_1, int param_2, int param_3, void * param_4)
0x00585161	CFastVB__Unk_00585161	void __thiscall CFastVB__Unk_00585161(void * this, void * param_1, int param_2, int param_3, void * param_4)
0x00585220	CFastVB__Unk_00585220	void __thiscall CFastVB__Unk_00585220(void * this, void * param_1, int param_2, int param_3, void * param_4)
0x005852d5	CFastVB__Unk_005852d5	void __thiscall CFastVB__Unk_005852d5(void * this, void * param_1, int param_2, int param_3, void * param_4)
0x00585380	CFastVB__Unk_00585380	void __thiscall CFastVB__Unk_00585380(void * this, void * param_1, int param_2, int param_3, void * param_4)
0x00585908	CFastVB__Unk_00585908	int __thiscall CFastVB__Unk_00585908(void * this, void * param_1, int param_2)
0x00585924	CFastVB__Unk_00585924	int __thiscall CFastVB__Unk_00585924(void * this, void * param_1, int param_2)
0x005859bc	CFastVB__Unk_005859bc	int __thiscall CFastVB__Unk_005859bc(void * this, void * param_1, int param_2)
0x005859d8	CFastVB__Unk_005859d8	void __thiscall CFastVB__Unk_005859d8(void * this, void * param_1, int param_2, int param_3, void * param_4)
0x00585a7b	CFastVB__Unk_00585a7b	void __thiscall CFastVB__Unk_00585a7b(void * this, void * param_1, int param_2, int param_3, void * param_4)
0x00585b35	CFastVB__Unk_00585b35	void __thiscall CFastVB__Unk_00585b35(void * this, void * param_1, int param_2, int param_3, void * param_4)
0x00585bef	CFastVB__Unk_00585bef	int __thiscall CFastVB__Unk_00585bef(void * this, void * param_1, int param_2)
0x00585c0b	CFastVB__Unk_00585c0b	void __thiscall CFastVB__Unk_00585c0b(void * this, void * param_1, int param_2, int param_3, void * param_4)
0x00585c94	CFastVB__Unk_00585c94	int __thiscall CFastVB__Unk_00585c94(void * this, void * param_1, int param_2)
0x00585fa3	CFastVB__Unk_00585fa3	void __thiscall CFastVB__Unk_00585fa3(void * this, void * param_1, int param_2, int param_3, void * param_4)
0x0058617c	CFastVB__Unk_0058617c	int __thiscall CFastVB__Unk_0058617c(void * this, void * param_1, int param_2)
0x005862e9	CFastVB__Unk_005862e9	int __thiscall CFastVB__Unk_005862e9(void * this, void * param_1, int param_2)
0x0058669a	CFastVB__Unk_0058669a	int __thiscall CFastVB__Unk_0058669a(void * this, void * param_1, int param_2)
0x005866b6	CFastVB__Unk_005866b6	int __thiscall CFastVB__Unk_005866b6(void * this, void * param_1, int param_2)
0x005866d2	CFastVB__Unk_005866d2	void __thiscall CFastVB__Unk_005866d2(void * this, void * param_1, int param_2, int param_3, uint param_4)
0x0058675f	CFastVB__Unk_0058675f	int __thiscall CFastVB__Unk_0058675f(void * this, void * param_1, int param_2)
0x005868d1	CFastVB__Unk_005868d1	void __thiscall CFastVB__Unk_005868d1(void * this, void * param_1, int param_2, int param_3, void * param_4)
0x00586994	CFastVB__Unk_00586994	int __thiscall CFastVB__Unk_00586994(void * this, void * param_1, int param_2)
0x00586bb7	CFastVB__Unk_00586bb7	int __fastcall CFastVB__Unk_00586bb7(int param_1)
0x00586ec7	CFastVB__Unk_00586ec7	int __thiscall CFastVB__Unk_00586ec7(void * this, void * param_1, int param_2)
0x0058735a	CFastVB__Unk_0058735a	void __thiscall CFastVB__Unk_0058735a(void * this, void * param_1, int param_2, int param_3, void * param_4)
0x005873f8	CFastVB__Unk_005873f8	void __thiscall CFastVB__Unk_005873f8(void * this, void * param_1, int param_2, int param_3, void * param_4)
0x00587daf	CFastVB__Unk_00587daf	void __fastcall CFastVB__Unk_00587daf(void * param_1)
0x00587dee	CFastVB__Unk_00587dee	int __thiscall CFastVB__Unk_00587dee(void * this, void * param_1, void * param_2)
0x00587e06	CFastVB__Unk_00587e06	int __thiscall CFastVB__Unk_00587e06(void * this, void * param_1, void * param_2)
0x00587e66	CFastVB__Unk_00587e66	void * __thiscall CFastVB__Unk_00587e66(void * this, void * param_1, int param_2)
0x00587e82	CFastVB__Unk_00587e82	int * __stdcall CFastVB__Unk_00587e82(void * param_1)
0x0058877d	CFastVB__Unk_0058877d	int __thiscall CFastVB__Unk_0058877d(void * this, void * param_1, int param_2, int param_3)
0x00588855	CFastVB__Unk_00588855	int __fastcall CFastVB__Unk_00588855(void * param_1)
0x005888a1	CFastVB__Unk_005888a1	void __fastcall CFastVB__Unk_005888a1(void * param_1)
0x005888ae	CFastVB__Unk_005888ae	void __fastcall CFastVB__Unk_005888ae(void * param_1)
0x005888bc	CFastVB__Unk_005888bc	int CFastVB__Unk_005888bc(void)
0x0058920c	CFastVB__Unk_0058920c	int CFastVB__Unk_0058920c(void)
0x0058926b	CFastVB__Unk_0058926b	int __stdcall CFastVB__Unk_0058926b(int param_1)
0x00589367	CFastVB__Unk_00589367	void __fastcall CFastVB__Unk_00589367(int param_1)
0x00589689	CFastVB__Unk_00589689	void __fastcall CFastVB__Unk_00589689(int param_1)
