addr	liveKind	dwordValue	colName	confidence	colAddr	proposedLabel
0x005dbf7c	DATA:POINTER	0053f160	.?AVCHLCollisionDetector@@	HIGH	0x005dbf74	CHLCollisionDetector__vftable_005dbf7c
0x005dbf80	DATA:POINTER	004bacb0	.?AVCHLCollisionDetector@@	MEDIUM	0x005dbf74	CHLCollisionDetector__vftable_005dbf80
0x005dc160	DATA:POINTER	0048dcc0	.?AVCSphereTriggerInitThing@@	HIGH	0x005dc158	CSphereTriggerInitThing__vftable_005dc160
0x005dc16c	DATA:POINTER	0040e280	.?AVCHazardInitThing@@	HIGH	0x005dc164	CHazardInitThing__vftable_005dc16c
0x005dc178	DATA:POINTER	0040e280	.?AVCFeatureInitThing@@	HIGH	0x005dc170	CFeatureInitThing__vftable_005dc178
0x005dc184	DATA:POINTER	0048da20	.?AVCWallInitThing@@	HIGH	0x005dc17c	CWallInitThing__vftable_005dc184
0x005dc190	DATA:POINTER	0048cc90	.?AVCTreeInitThing@@	HIGH	0x005dc188	CTreeInitThing__vftable_005dc190
0x005dc19c	DATA:POINTER	0048db80	.?AVCCutsceneInitThing@@	HIGH	0x005dc194	CCutsceneInitThing__vftable_005dc19c
0x005dc1a8	DATA:POINTER	0048ce00	.?AVCSpawnerInitThing@@	HIGH	0x005dc1a0	CSpawnerInitThing__vftable_005dc1a8
0x005dc1c4	DATA:POINTER	0040e280	.?AVCUnitInitThing@@	HIGH	0x005dc1bc	CUnitInitThing__vftable_005dc1c4
0x005dc1d0	DATA:POINTER	0040e280	.?AVCInitThing@@	HIGH	0x005dc1c8	CInitThing__vftable_005dc1d0
0x005dc6d8	DATA:POINTER	004b7300	.?AVCMessageBox@@	HIGH	0x005dc6d0	CMessageBox__vftable_005dc6d8
0x005dc6dc	DATA:POINTER	004bacb0	.?AVCMessageBox@@	MEDIUM	0x005dc6d0	CMessageBox__vftable_005dc6dc
0x005dcad8	DATA:POINTER	0040e280	.?AVCBattleEngineInitThing@@	HIGH	0x005dcad0	CBattleEngineInitThing__vftable_005dcad8
0x005de9b8	DATA:POINTER	0040e280	.?AVCRoundInitThing@@	HIGH	0x005de9b0	CRoundInitThing__vftable_005de9b8
0x005e4f0c	DATA:POINTER	00533430	.?AVIScript@@	HIGH	0x005e4f04	IScript__vftable_005e4f0c
0x005e4f10	DATA:POINTER	00533810	.?AVIScript@@	MEDIUM	0x005e4f04	IScript__vftable_005e4f10
0x005e4f80	DATA:POINTER	00405930	.?AVCBLTexture@@	HIGH	0x005e4f60	CBLTexture__vftable_005e4f80
0x005e4f84	DATA:POINTER	005593a0	.?AVCBLTexture@@	MEDIUM	0x005e4f60	CBLTexture__vftable_005e4f84
