retail_va	demo_va	current_name	retail_body_bytes	body_ranges	instruction_count	retail_instruction_stream_sha256	demo_instruction_stream_sha256	raw_diff_bytes	normalized_difference_count	cross_build_result
0x0055ed50	0x0055f3f0	CRT__MemMoveOverlapSafe	664	21	231	5b5ca8643f9bece6ca1ef1acabb2995ba276a3e4b1bf78b37dbeaa02e8e7a27a	bfed5ea1fbd90f7f7c79fe4aa36cd01c12c040288487f30e70e95798eeaab354	32	0	NORMALIZED_IDENTICAL_EXACT_GHIDRA_RANGES
0x0055f085	0x0055f725	CRT__FreeBase	215	3	75	ff90611c0abe1ca8950eeba6787e6dd8e818a9165063474a296c91f0beb37811	5b46246b37665bfceed714a6637b30719e13dd6b4dc7408eba08ba6e93ecab01	12	0	NORMALIZED_IDENTICAL_EXACT_GHIDRA_RANGES
0x00560627	0x00560cc7	CRT__SehUnwindToTargetState	132	2	47	918fbfe5072bb1be3b94b4d4cd148703785d482acde1dfe0f37c67c7a9f12b09	fd56683e290ab0af02c61b0cd81c2f8c77e2a247449a5f8f2305b1622a586f95	3	0	NORMALIZED_IDENTICAL_EXACT_GHIDRA_RANGES
0x00560bfa	0x0056129a	CDXTexture__InvokeTlsCleanupCallbackAndFinalize	86	2	27	1402c3d63f3009f8838cd8507a326b4731ea4706f7b6463013c9174c43e8626c	dbbb7c4e908d1693b78a104c479c7a1ca9e7ea39f255ef9a165731354b498d33	5	0	NORMALIZED_IDENTICAL_EXACT_GHIDRA_RANGES
0x00560c5b	0x005612fb	CDXTexture__InvokeGlobalCleanupCallbackAndFinalize	79	2	25	879f43993f3ccc7baf815bd3a112ebb9f72f9c8abdf16e8b49031eccbaf041bb	2262249fd9f5d2151130aaf549c1e3e1eafe637669d252b8763f700e9aa497bd	5	0	NORMALIZED_IDENTICAL_EXACT_GHIDRA_RANGES
0x005611f0	0x00561890	_strcmp	129	3	54	49de85a1371f43fd4a4311800e2df3fa4ec613ed168521285ff9be847cf4c646	49de85a1371f43fd4a4311800e2df3fa4ec613ed168521285ff9be847cf4c646	0	0	NORMALIZED_IDENTICAL_EXACT_GHIDRA_RANGES
0x0056202e	0x005626c1	CRT__ReallocBase	781	3	278	ae7475720b91c6dfd1e9ecec5140103ac28a1b255533843bfb96fae98aa3cd7b	3ab384ccd64b10d7d0722228109053b87f87bc732838effa5268a9fe01214328	53	0	NORMALIZED_IDENTICAL_EXACT_GHIDRA_RANGES
0x0056235d	0x005629f0	CRT__MsizeByPointer	214	2	73	ebc939f02444fc92463e1913234945d0249a0fa5ce942fa379ec35f02a91c163	6e357a069c8f511fe1d71ca894c6735bda71206f124ca06fad199e675defa7eb	12	0	NORMALIZED_IDENTICAL_EXACT_GHIDRA_RANGES
0x00565ee0	0x00566583	CRT__LCMapStringA_Compat	511	3	177	9433bca06ea1dc1c0442a6d2af41fdef3957920c6395c4427a40bd92b0134822	255d182512393ebe2bb3e27963420666e2d57fef1d5255afe6df219c9ae0a5d0	29	0	NORMALIZED_IDENTICAL_EXACT_GHIDRA_RANGES
0x00567700	0x00567dd0	CRT__MemMove	664	21	231	fe118dfe5e2561575c622df648684e891d01237094637c48cd75fb5cc0ac79ef	de25ab45d38406fbb46d8a3ef69ce2f52490012aaf743671042677984738de9a	32	0	NORMALIZED_IDENTICAL_EXACT_GHIDRA_RANGES
0x005689b8	0x00569088	CRT__CallocWithRetry	289	3	99	db993923d869bfef8b9ab88f7ebe7949032e0c06b1f54515bffbaf090c110105	0b30c4d8686f577033ec4913bd3881ab8b166625d02ca9874a28ef9cbc9dace2	20	0	NORMALIZED_IDENTICAL_EXACT_GHIDRA_RANGES
0x0056a69e	0x0056b3b1	CRT__GetStringTypeACompat	318	2	117	f7b3051b64d6d3fa7fcc857fb3bf206cd1c3fa3ee4ab7d0b71aafec5039c792a	c9bf6c03e5502c98b90ce3f732814eb41db8c5d5006e7cd617f4a8a0cacb8e41	28	0	NORMALIZED_IDENTICAL_EXACT_GHIDRA_RANGES
0x0056defa	0x0056e5ca	CRT__GetStringTypeWideOrAnsiCompat_0056defa	423	3	143	3ff6cfb5d31a0f9c9a4210d8f3cea9774fae3865a3faa8b3713550febd311295	c4d94785f9d1d5beb0da42ec5b9da0da417aafa4f0dcfca21fc869f2fbfda05a	28	0	NORMALIZED_IDENTICAL_EXACT_GHIDRA_RANGES
0x0056e34f	0x0056ea1f	CRT__GetLocaleInfoAsWide	264	2	98	35fd460a704a7f582729eb55b117a302a391a24e07e2bac17428b789ae0f1809	e43537ad970a9bd603cc731a8eb01e434f0c6639371e3102473a124a4fe57517	16	0	NORMALIZED_IDENTICAL_EXACT_GHIDRA_RANGES
0x0056e462	0x0056eb32	CRT__GetLocaleInfoAsMultiByte	275	2	101	594e1bf98b12cf79db1e38ddd13911cc8fe3e934a840a3ecac7ef0764ef2dc2f	9349551c6c9e8f457f6d0e326476b1034325c181033a623f705ef2767e75595f	16	0	NORMALIZED_IDENTICAL_EXACT_GHIDRA_RANGES
0x0056e62d	0x0056ecfd	CRT__CompareLocaleStringsWithMBCSFallback	597	3	221	4dd2b4981e3ab7368acb91ce7334c637c0891e6efcf218d0b0e4f46cddef101f	3b330c9fc23ee7d084c142f07231bcebc1de18978b320a9ef900c3b0b99bbc43	35	0	NORMALIZED_IDENTICAL_EXACT_GHIDRA_RANGES
0x0058920c	0x005898ac	HYP__CDXTexture__DetectCpuSimdFlags	90	2	32	4caa563e046826f31c89a69a9660e47988ee97c41bf04587a3c63bcf04be50e3	4caa563e046826f31c89a69a9660e47988ee97c41bf04587a3c63bcf04be50e3	0	0	NORMALIZED_IDENTICAL_EXACT_GHIDRA_RANGES
0x0059b510	0x0059bbb0	CDXTexture__ValidateJpegFrameAndBuildScanLayout	458	2	138	31503dfdc633e18415c70cb1a89142f41a08f26a4f60344cf5851df2cd5b9d2c	31503dfdc633e18415c70cb1a89142f41a08f26a4f60344cf5851df2cd5b9d2c	0	0	NORMALIZED_IDENTICAL_EXACT_GHIDRA_RANGES
0x0059b6f0	0x0059bd90	CTexture__BuildComponentPlaneLayoutTables	388	2	122	cb3cae9499886c8d12be3937a2dea0e707b89a69fe909419222729ebe7d6b2c8	cb3cae9499886c8d12be3937a2dea0e707b89a69fe909419222729ebe7d6b2c8	0	0	NORMALIZED_IDENTICAL_EXACT_GHIDRA_RANGES
0x0059e110	0x0059e7b0	CDXTexture__WriteJpegQuantTable	500	2	192	d39fd0698fcbd9f4fec58048fd03ff11a74bda94552196018066ce6c544c3656	a6ec69d9fa9c97827921bc378e73b99e844815d4a7e7cc45902c39d5dadaea4f	2	0	NORMALIZED_IDENTICAL_EXACT_GHIDRA_RANGES
0x0059e580	0x0059ec20	CDXTexture__WriteJpegFrameHeader	489	2	220	5d95e2342017f9e334a622f4eaa42a32594c6c3c23c2023953521b374ee74b6d	5d95e2342017f9e334a622f4eaa42a32594c6c3c23c2023953521b374ee74b6d	0	0	NORMALIZED_IDENTICAL_EXACT_GHIDRA_RANGES
0x0059e770	0x0059ee10	CDXTexture__WriteJpegScanHeader	508	2	209	ebb7642df65a1bcfac5722d96658ec8ec6827f02ba090558f666f48be4c174af	ebb7642df65a1bcfac5722d96658ec8ec6827f02ba090558f666f48be4c174af	0	0	NORMALIZED_IDENTICAL_EXACT_GHIDRA_RANGES
0x005ae600	0x005aecc0	CDXTexture__InitPerComponentCoefficientBuffers	119	2	45	da6379a8eac33e438145ef5e36163cb95a088313685d67fdefd8f25c9e9df1ec	04e263e859967f9bbd9973594296cc6195fa87da2547e3961697c98e353c5eb7	2	0	NORMALIZED_IDENTICAL_EXACT_GHIDRA_RANGES
0x005b1630	0x005b1cf0	CDXTexture__ConvertYccScanlinePairToRgb_Sse	1275	2	397	eea170b5ea5d235b856ce41754f6f1cf428bf1d343d0bbd99771b0ec2982d8bf	761b4e62eb064c6bcd60426e82b2d20fe51312d11f464d959fef6289b6b9db36	16	0	NORMALIZED_IDENTICAL_EXACT_GHIDRA_RANGES
0x005b3840	0x005b3f10	CDXTexture__AccumulateJpegHuffmanFrequenciesFromBlock	216	2	85	7f7f2669eb07fca052e22176025b5b796ccd4bbdae4d4bd0ba79ebe1c0de5f60	ed833e65d6ffd4a2f00d5294b224d4ea6844f1d69ee02fcb64e4ca98f1576ef1	2	0	NORMALIZED_IDENTICAL_EXACT_GHIDRA_RANGES
0x005b39d0	0x005b40a0	CDXTexture__BuildCanonicalHuffmanCodes	580	3	178	daeb6cd02a937aca0e10b991f1e53db667b6b4a38c27409be4b3914fe10eb960	daeb6cd02a937aca0e10b991f1e53db667b6b4a38c27409be4b3914fe10eb960	0	0	NORMALIZED_IDENTICAL_EXACT_GHIDRA_RANGES
0x005b6cf0	0x005b73c0	CDXTexture__InitUpsamplerDispatch	367	2	113	57eff353a9835bd86055760a278cc74ebcdc2344b01ec69848d30dc6b79be1eb	1ccb6ba852623c1a0a09a27c6f311098986865442bb659f344137e5701836d28	16	0	NORMALIZED_IDENTICAL_EXACT_GHIDRA_RANGES
0x005b7d30	0x005b8400	CDXTexture__BuildCurrentScanMcuLayout	426	2	126	f9f21f8344154d04540406925356e3d3d532531065b1db1829afb0aad0b6efb2	c4ec60a52e907ba2bc3b1b74b69adeb7401f2587552fe71f65d77beeefba7b91	2	0	NORMALIZED_IDENTICAL_EXACT_GHIDRA_RANGES
0x005d0a9f	0x005d119f	CRT__LongJmpProbe_NoOp	76	2	28	2f23de31502b89ff9246bf44cb3fe7e06ba4766ba47ebdce90f1cb717711e215	44d0148bc075c93338ead8f6283ffe08ce01b1149c7794fa7c0f500862483777	3	0	NORMALIZED_IDENTICAL_EXACT_GHIDRA_RANGES
0x005d0c7f	0x005d137f	CRT__LCMapStringW_AnsiCompat	491	3	170	1094e9c87998b6cd2e19ef72a602e2b67ecf72a21d5e321d9dbe18a3b95e98f7	3cc156330a4fb1b8b7b9fc9e00dba3d4470e35f12c918293228b7358a092eb75	29	0	NORMALIZED_IDENTICAL_EXACT_GHIDRA_RANGES
