retail_va	demo_va	current_name	mapping_basis	round	corresponding_transfer_count	caller_retail_vas	caller_transfer_offsets	range_method	legacy_body_bytes	corrected_body_bytes	corrected_tail_bytes	body_ranges	retail_instructions	demo_instructions	raw_diff_bytes	normalized_sha256	changed_absolute_reference_pairs	direct_transfer_pairs	comparison_result
0x005775c3	0x00577c63	Math__BuildQuaternionRotationMatrix	EQUAL_DELTA_BRACKET_BODY_UNION	0	0			FROZEN_INSTRUCTION_UNION	224	226	2	1	87	87	1	c4326ef813c5c7ff69b1698e58d3b317321ae3bc49d21e94c574c68dfb6f33c3	1	0	NORMALIZED_IDENTICAL_CORRECTED_BODY_UNION
0x00577a3e	0x005780de	Math__BuildQuaternionFromEulerAngles	EQUAL_DELTA_BRACKET_BODY_UNION	0	0			FROZEN_INSTRUCTION_UNION	215	217	2	1	79	79	3	0e7b6a6f4b2e92f079a0429c4e8476284962c255549716cdc43e09561ab303a5	3	0	NORMALIZED_IDENTICAL_CORRECTED_BODY_UNION
0x00577eaa	0x0057854a	Math__InterpolateVec4ByRatio	EQUAL_DELTA_BRACKET_BODY_UNION	0	0			FROZEN_INSTRUCTION_UNION	225	227	2	1	89	89	3	cfb08cdf12990ab8687a833397cb729642d820fdf9c07a423161671082cc9d7d	3	2	NORMALIZED_IDENTICAL_CORRECTED_BODY_UNION
0x005913b0	0x00591a50	CFastVB__JpegParser_ResetFrameState	EQUAL_DELTA_BRACKET_BODY_UNION	0	0			FROZEN_INSTRUCTION_UNION	162	162	0	2	41	41	0	4b1afdcc2964c14e6d259ffdd1f59ba7b7f9bfefa06cea0ef3c9ebbe7a99440f	0	1	NORMALIZED_IDENTICAL_CORRECTED_BODY_UNION
0x005919e0	0x00592080	CDXTexture__DecodeJpegSegment_HuffmanTables	EQUAL_DELTA_BRACKET_BODY_UNION	0	0			FROZEN_INSTRUCTION_UNION	709	709	0	2	234	234	0	17c72bc8120a083019e5b10b0c74b5893f614fd9989df43eb6a234f7539171b4	0	3	NORMALIZED_IDENTICAL_CORRECTED_BODY_UNION
0x0059c4d0	0x0059cb70	CallbackInstallTarget_0059c58d	EQUAL_DELTA_BRACKET_BODY_UNION	0	0			SEALED_RANGE_LAST_INSTRUCTION_COMPLETION	53	53	0	2	21	21	5	bba6c0b8f6b8e7589faeddee52842074005b6c81a41b82635a093be7fed2807f	0	4	NORMALIZED_IDENTICAL_CORRECTED_BODY_UNION
0x005ac2d0	0x005ac990	CallbackInstallTarget_005ac953	EQUAL_DELTA_BRACKET_BODY_UNION	0	0			SEALED_RANGE_LAST_INSTRUCTION_COMPLETION	1610	1610	0	2	485	485	1	4c73363cca57bdd09ffa15e30fd1f6bf63f1b367caf3bb95cc4398e8af19e461	0	9	NORMALIZED_IDENTICAL_CORRECTED_BODY_UNION
0x005acac0	0x005ad180	CDXTexture__BuildJpegHuffmanDecodeTable	EQUAL_DELTA_BRACKET_BODY_UNION	0	0			FROZEN_INSTRUCTION_UNION	694	694	0	3	223	223	0	ee624c4bcec6e85b7c2a93a6e6eb7a170bbb08345fa7af2acaf6162f11c8954e	0	6	NORMALIZED_IDENTICAL_CORRECTED_BODY_UNION
0x005ad000	0x005ad6c0	CallbackInstallTarget_005ad56e	EQUAL_DELTA_BRACKET_BODY_UNION	0	0			SEALED_RANGE_LAST_INSTRUCTION_COMPLETION	1031	1031	0	2	339	339	5	bc57aace9648c8e882a73ae682152f59a4a5bd5565cc831bb9291106e27f5b08	0	23	NORMALIZED_IDENTICAL_CORRECTED_BODY_UNION
0x005ad600	0x005adcc0	CallbackInstallTarget_005ae0c6	EQUAL_DELTA_BRACKET_BODY_UNION	0	0			SEALED_RANGE_LAST_INSTRUCTION_COMPLETION	530	530	0	2	174	174	2	bca75d2760df56154db41f63760d9376b8a392a0e649fb0c38535749fb4d6a05	0	8	NORMALIZED_IDENTICAL_CORRECTED_BODY_UNION
0x005ae1f0	0x005ae8b0	CallbackInstallTarget_005ae623	EQUAL_DELTA_BRACKET_BODY_UNION	0	0			SEALED_RANGE_LAST_INSTRUCTION_COMPLETION	970	970	0	2	255	255	31	2860dcd4049fe7cdf263a5fbc58a1844ff6a391cbc35fed62831fcbc82c27499	8	13	NORMALIZED_IDENTICAL_CORRECTED_BODY_UNION
0x005af930	0x005afff0	CallbackInstallTarget_005b0fbc	EQUAL_DELTA_BRACKET_BODY_UNION	0	0			SEALED_RANGE_LAST_INSTRUCTION_COMPLETION	294	294	0	2	96	96	0	d97394862b619e1a3efd6c2d72f4dd9f82e614a0df431690ec1f62cbee9cd738	0	3	NORMALIZED_IDENTICAL_CORRECTED_BODY_UNION
0x005b0ac0	0x005b1180	CallbackInstallTarget_005b1006	EQUAL_DELTA_BRACKET_BODY_UNION	0	0			SEALED_RANGE_LAST_INSTRUCTION_COMPLETION	462	462	0	2	140	140	0	aed8f41db82388450a5823d55de9793a7cc9718f95ca9f7b491ce02a95123bf1	0	3	NORMALIZED_IDENTICAL_CORRECTED_BODY_UNION
0x005b3170	0x005b3840	CDXTexture__BuildJpegHuffmanEncodeTable	EQUAL_DELTA_BRACKET_BODY_UNION	0	0			FROZEN_INSTRUCTION_UNION	493	493	0	2	161	161	0	46d006313b5daf715dc228959732713d6574e2ef9b9c590255a298435fcc02d3	0	3	NORMALIZED_IDENTICAL_CORRECTED_BODY_UNION
0x005b4170	0x005b4840	CallbackInstallTarget_005b498c	EQUAL_DELTA_BRACKET_BODY_UNION	0	0			SEALED_RANGE_LAST_INSTRUCTION_COMPLETION	353	353	0	2	116	116	0	d5a9febea5b92d13a6ef3ed9d4c319f4213585e76bd48efe921cfb461b255948	0	5	NORMALIZED_IDENTICAL_CORRECTED_BODY_UNION
0x005b4580	0x005b4c50	CallbackInstallTarget_005b49b0	EQUAL_DELTA_BRACKET_BODY_UNION	0	0			SEALED_RANGE_LAST_INSTRUCTION_COMPLETION	640	640	0	2	205	205	2	47819759a276cdc56aadf684e9e1a95322aa99315cf96b76cc79b103c99b8a62	0	14	NORMALIZED_IDENTICAL_CORRECTED_BODY_UNION
0x005b4b20	0x005b51f0	CallbackInstallTarget_005b5ba1	EQUAL_DELTA_BRACKET_BODY_UNION	0	0			SEALED_RANGE_LAST_INSTRUCTION_COMPLETION	904	904	0	2	241	241	37	81956ee9f5510f2a4a81d2bed07cb9bc99d92223ae41aaa1cf749ac3f3e92ee6	24	4	NORMALIZED_IDENTICAL_CORRECTED_BODY_UNION
0x005b62f0	0x005b69c0	CallbackInstallTarget_005b6d29	EQUAL_DELTA_BRACKET_BODY_UNION	0	0			SEALED_RANGE_LAST_INSTRUCTION_COMPLETION	135	135	0	2	50	50	0	de020f5badc0ce51f19369df4b5f448e1b001f91d8dc36a56267b058a41721dc	0	2	NORMALIZED_IDENTICAL_CORRECTED_BODY_UNION
0x005b6e70	0x005b7540	CallbackInstallTarget_005b7610	EQUAL_DELTA_BRACKET_BODY_UNION	0	0			SEALED_RANGE_LAST_INSTRUCTION_COMPLETION	206	206	0	2	53	53	0	36b017b1663b91604b9abf6c94fa9bdf79efc1e880b7b7e9ec7d78138dc32042	0	1	NORMALIZED_IDENTICAL_CORRECTED_BODY_UNION
