addr	liveName	currentSignatureLive	currentSignatureSha256	proposedSignature	callingConvention	returnTypeProposed	paramSpec	arity	arityBytes	retImmediate	argSlotWitness	witnessInstruction	retInstruction	exactness	confidence	changeAxes	independentReDerivation
0x005a5ed8	CFastVB__DispatchOp_Slot68_005a5ed8	int CFastVB__DispatchOp_Slot68_005a5ed8(void)	1f94cc9b0b06cea19956c967c9d2914ca0e255430813719d2f0aadbfbd819b98	int CFastVB__DispatchOp_Slot68_005a5ed8(undefined4 param_1, undefined4 param_2, undefined4 param_3, undefined4 param_4)	unknown	int	STACK:undefined4:param_1:expl;STACK:undefined4:param_2:expl;STACK:undefined4:param_3:expl;STACK:undefined4:param_4:expl	4	16	0x10	slot 3 = 16 bytes	005a5ede:movd mm4, dword ptr [esp + 0x10]=[0f6e642410]	005a5f25:ret 0x10=[c21000]	COMPLETE_ENUMERATION	HIGH	ARITY	REPRODUCED_INDEPENDENTLY
0x005a77bc	CFastVB__DispatchOp_SlotA4_005a77bc	int CFastVB__DispatchOp_SlotA4_005a77bc(void)	28668187db00b713da824fbc551ba5cc2a2e7a8245015d1aa6651d4f863aa000	int CFastVB__DispatchOp_SlotA4_005a77bc(undefined4 param_1, undefined4 param_2, undefined4 param_3, undefined4 param_4, undefined4 param_5)	unknown	int	STACK:undefined4:param_1:expl;STACK:undefined4:param_2:expl;STACK:undefined4:param_3:expl;STACK:undefined4:param_4:expl;STACK:undefined4:param_5:expl	5	20	0x14	slot 4 = 20 bytes	005a7cc1:mov edx, dword ptr [esp + 0x54]=[8b542454]	005a7ced:ret 0x14=[c21400]	COMPLETE_ENUMERATION	HIGH	ARITY	REPRODUCED_INDEPENDENTLY
0x005a996b	CFastVB__DispatchOp_Slot48_005a996b	int CFastVB__DispatchOp_Slot48_005a996b(void)	fd37809b44c89934f0431f8a65051a14b77eeae614d2820cb451c1f9e552b898	int CFastVB__DispatchOp_Slot48_005a996b(undefined4 param_1, undefined4 param_2, undefined4 param_3)	unknown	int	STACK:undefined4:param_1:expl;STACK:undefined4:param_2:expl;STACK:undefined4:param_3:expl	3	12	0xc	slot 2 = 12 bytes	005a996d:push dword ptr [esp + 0xc]=[ff74240c]	005a9984:ret 0xc=[c20c00]	COMPLETE_ENUMERATION	HIGH	ARITY	REPRODUCED_INDEPENDENTLY
0x005a9987	CFastVB__DispatchOp_Slot04_005a9987	int CFastVB__DispatchOp_Slot04_005a9987(void)	0883818dad7cb9b68e5502711fcd3a8c4cfe29365b6fc422bb899d1c5c22cf49	int CFastVB__DispatchOp_Slot04_005a9987(undefined4 param_1, undefined4 param_2, undefined4 param_3)	unknown	int	STACK:undefined4:param_1:expl;STACK:undefined4:param_2:expl;STACK:undefined4:param_3:expl	3	12	0xc	slot 2 = 12 bytes	005a998d:mov edx, dword ptr [esp + 0xc]=[8b54240c]	005a99f5:ret 0xc=[c20c00]	COMPLETE_ENUMERATION	HIGH	ARITY	REPRODUCED_INDEPENDENTLY
0x005a9abe	CFastVB__DispatchOp_SlotCC_005a9abe	int CFastVB__DispatchOp_SlotCC_005a9abe(void)	679de3f172536812105002b21af0f165089705d4e1cda9cb698573c28ce5b7f8	int CFastVB__DispatchOp_SlotCC_005a9abe(undefined4 param_1, undefined4 param_2, undefined4 param_3, undefined4 param_4, undefined4 param_5, undefined4 param_6)	unknown	int	STACK:undefined4:param_1:expl;STACK:undefined4:param_2:expl;STACK:undefined4:param_3:expl;STACK:undefined4:param_4:expl;STACK:undefined4:param_5:expl;STACK:undefined4:param_6:expl	6	24	0x18	slot 5 = 24 bytes	005a9ae8:movd mm7, dword ptr [esp + 0x18]=[0f6e7c2418]	005a9b2c:ret 0x18=[c21800]	COMPLETE_ENUMERATION	HIGH	ARITY	REPRODUCED_INDEPENDENTLY
0x005a9b2f	CFastVB__DispatchOp_SlotC4_005a9b2f	int CFastVB__DispatchOp_SlotC4_005a9b2f(void)	6b1a60981be62afd77347fcb1eb435dca778a7cc2ccee481c2a36730c53c9936	int CFastVB__DispatchOp_SlotC4_005a9b2f(undefined4 param_1, undefined4 param_2, undefined4 param_3, undefined4 param_4, undefined4 param_5, undefined4 param_6)	unknown	int	STACK:undefined4:param_1:expl;STACK:undefined4:param_2:expl;STACK:undefined4:param_3:expl;STACK:undefined4:param_4:expl;STACK:undefined4:param_5:expl;STACK:undefined4:param_6:expl	6	24	0x18	slot 5 = 24 bytes	005a9b31:movd mm0, dword ptr [esp + 0x18]=[0f6e442418]	005a9c00:ret 0x18=[c21800]	COMPLETE_ENUMERATION	HIGH	ARITY	REPRODUCED_INDEPENDENTLY
0x005a9c03	CFastVB__DispatchOp_SlotC8_005a9c03	int CFastVB__DispatchOp_SlotC8_005a9c03(void)	4c0ada36c061aa67605b8e1d2351a3a981e74bd3ff2d217af6c3a029db8f73a3	int CFastVB__DispatchOp_SlotC8_005a9c03(undefined4 param_1, undefined4 param_2, undefined4 param_3, undefined4 param_4, undefined4 param_5, undefined4 param_6)	unknown	int	STACK:undefined4:param_1:expl;STACK:undefined4:param_2:expl;STACK:undefined4:param_3:expl;STACK:undefined4:param_4:expl;STACK:undefined4:param_5:expl;STACK:undefined4:param_6:expl	6	24	0x18	slot 5 = 24 bytes	005a9c03:movd mm0, dword ptr [esp + 0x18]=[0f6e442418]	005a9cea:ret 0x18=[c21800]	COMPLETE_ENUMERATION	HIGH	ARITY	REPRODUCED_INDEPENDENTLY
0x005aa82d	CFastVB__DispatchOp_Slot44_005aa82d	int CFastVB__DispatchOp_Slot44_005aa82d(void)	d1ff0e0413c42d47dfcfc1e4aa1313e84835ccca67f2017c5bf902716cad4f7c	int CFastVB__DispatchOp_Slot44_005aa82d(undefined4 param_1, undefined4 param_2, undefined4 param_3, undefined4 param_4, undefined4 param_5, undefined4 param_6)	unknown	int	STACK:undefined4:param_1:expl;STACK:undefined4:param_2:expl;STACK:undefined4:param_3:expl;STACK:undefined4:param_4:expl;STACK:undefined4:param_5:expl;STACK:undefined4:param_6:expl	6	24	0x18	slot 5 = 24 bytes	005aa82f:movd mm0, dword ptr [esp + 0x18]=[0f6e442418]	005aa8c2:ret 0x18=[c21800]	COMPLETE_ENUMERATION	HIGH	ARITY	REPRODUCED_INDEPENDENTLY
0x005aa8c5	CFastVB__DispatchOp_SlotC0_005aa8c5	int CFastVB__DispatchOp_SlotC0_005aa8c5(void)	c52c4e40578a4d1648da2498720d8c492906dbfb0fbb11af18366da458a19b2a	int CFastVB__DispatchOp_SlotC0_005aa8c5(undefined4 param_1, undefined4 param_2, undefined4 param_3, undefined4 param_4, undefined4 param_5, undefined4 param_6)	unknown	int	STACK:undefined4:param_1:expl;STACK:undefined4:param_2:expl;STACK:undefined4:param_3:expl;STACK:undefined4:param_4:expl;STACK:undefined4:param_5:expl;STACK:undefined4:param_6:expl	6	24	0x18	slot 5 = 24 bytes	005aa8e2:movd mm7, dword ptr [esp + 0x18]=[0f6e7c2418]	005aa90b:ret 0x18=[c21800]	COMPLETE_ENUMERATION	HIGH	ARITY	REPRODUCED_INDEPENDENTLY
0x005aa90e	CFastVB__DispatchOp_SlotB8_005aa90e	int CFastVB__DispatchOp_SlotB8_005aa90e(void)	69346765ea347117505ffaa56399013613ed15072c3760de797ab426ff0558f7	int CFastVB__DispatchOp_SlotB8_005aa90e(undefined4 param_1, undefined4 param_2)	unknown	int	STACK:undefined4:param_1:expl;STACK:undefined4:param_2:expl	2	8	0x8	slot 1 = 8 bytes	005aa90e:mov edx, dword ptr [esp + 8]=[8b542408]	005aa94e:ret 0x8=[c20800]	COMPLETE_ENUMERATION	HIGH	ARITY	REPRODUCED_INDEPENDENTLY
0x005aa951	CFastVB__DispatchOp_SlotBC_005aa951	int CFastVB__DispatchOp_SlotBC_005aa951(void)	d53ceb3b3279551b6eeed74368a22166038a5e259d23fdd8eb58ec60afb96417	int CFastVB__DispatchOp_SlotBC_005aa951(undefined4 param_1, undefined4 param_2, undefined4 param_3, undefined4 param_4, undefined4 param_5, undefined4 param_6)	unknown	int	STACK:undefined4:param_1:expl;STACK:undefined4:param_2:expl;STACK:undefined4:param_3:expl;STACK:undefined4:param_4:expl;STACK:undefined4:param_5:expl;STACK:undefined4:param_6:expl	6	24	0x18	slot 5 = 24 bytes	005aa951:movd mm0, dword ptr [esp + 0x18]=[0f6e442418]	005aa9f9:ret 0x18=[c21800]	COMPLETE_ENUMERATION	HIGH	ARITY	REPRODUCED_INDEPENDENTLY
0x005aa9fc	CFastVB__DispatchOp_Slot08_005aa9fc	int CFastVB__DispatchOp_Slot08_005aa9fc(void)	a3a0448737fe46f62e64f031c21105b03fead5b9430a784724859531b1438a98	int CFastVB__DispatchOp_Slot08_005aa9fc(undefined4 param_1, undefined4 param_2, undefined4 param_3)	unknown	int	STACK:undefined4:param_1:expl;STACK:undefined4:param_2:expl;STACK:undefined4:param_3:expl	3	12	0xc	slot 2 = 12 bytes	005aaa02:mov edx, dword ptr [esp + 0xc]=[8b54240c]	005aaa7b:ret 0xc=[c20c00]	COMPLETE_ENUMERATION	HIGH	ARITY	REPRODUCED_INDEPENDENTLY
0x005aaa7e	CFastVB__DispatchOp_Slot20_005aaa7e	int CFastVB__DispatchOp_Slot20_005aaa7e(void)	3bcd252acd3ab3a0ed09e1ba2e649e8eeeea41897c49e7ad192ec257043d758f	int CFastVB__DispatchOp_Slot20_005aaa7e(undefined4 param_1, undefined4 param_2)	unknown	int	STACK:undefined4:param_1:expl;STACK:undefined4:param_2:expl	2	8	0x8	slot 1 = 8 bytes	005aaa80:mov ecx, dword ptr [esp + 8]=[8b4c2408]	005aaada:ret 0x8=[c20800]	COMPLETE_ENUMERATION	HIGH	ARITY	REPRODUCED_INDEPENDENTLY
0x005aaadd	CFastVB__DispatchOp_Slot40_005aaadd	int CFastVB__DispatchOp_Slot40_005aaadd(void)	9a19f05f01a17c1a3f1d85ac80e3621062394d9848973d6fe18bbac6601d93a1	int CFastVB__DispatchOp_Slot40_005aaadd(undefined4 param_1, undefined4 param_2, undefined4 param_3, undefined4 param_4)	unknown	int	STACK:undefined4:param_1:expl;STACK:undefined4:param_2:expl;STACK:undefined4:param_3:expl;STACK:undefined4:param_4:expl	4	16	0x10	slot 3 = 16 bytes	005aaae8:mov edx, dword ptr [esp + 0x14]=[8b542414]	005aac0c:ret 0x10=[c21000]	COMPLETE_ENUMERATION	HIGH	ARITY	REPRODUCED_INDEPENDENTLY
0x005aac0f	CFastVB__DispatchOp_SlotD8_005aac0f	int CFastVB__DispatchOp_SlotD8_005aac0f(void)	8effe4eb3799ef608d01c4fa6502b409f9e914433302b6c0ee8fecfe1a4aa639	int CFastVB__DispatchOp_SlotD8_005aac0f(undefined4 param_1, undefined4 param_2, undefined4 param_3, undefined4 param_4, undefined4 param_5, undefined4 param_6)	unknown	int	STACK:undefined4:param_1:expl;STACK:undefined4:param_2:expl;STACK:undefined4:param_3:expl;STACK:undefined4:param_4:expl;STACK:undefined4:param_5:expl;STACK:undefined4:param_6:expl	6	24	0x18	slot 5 = 24 bytes	005aac35:movd mm7, dword ptr [esp + 0x18]=[0f6e7c2418]	005aac7d:ret 0x18=[c21800]	COMPLETE_ENUMERATION	HIGH	ARITY	REPRODUCED_INDEPENDENTLY
0x005aac80	CFastVB__DispatchOp_SlotD0_005aac80	int CFastVB__DispatchOp_SlotD0_005aac80(void)	e4518f5e4839fbf9ce376783f0724801482b771943d9b441ca89960d92b9287e	int CFastVB__DispatchOp_SlotD0_005aac80(undefined4 param_1, undefined4 param_2, undefined4 param_3, undefined4 param_4, undefined4 param_5, undefined4 param_6)	unknown	int	STACK:undefined4:param_1:expl;STACK:undefined4:param_2:expl;STACK:undefined4:param_3:expl;STACK:undefined4:param_4:expl;STACK:undefined4:param_5:expl;STACK:undefined4:param_6:expl	6	24	0x18	slot 5 = 24 bytes	005aac82:movd mm0, dword ptr [esp + 0x18]=[0f6e442418]	005aad45:ret 0x18=[c21800]	COMPLETE_ENUMERATION	HIGH	ARITY	REPRODUCED_INDEPENDENTLY
0x005aad48	CFastVB__DispatchOp_SlotD4_005aad48	int CFastVB__DispatchOp_SlotD4_005aad48(void)	51bc6c8e60c2608f0027d951562aecce247f519cabbd1a5f2f685dd6d6d4470b	int CFastVB__DispatchOp_SlotD4_005aad48(undefined4 param_1, undefined4 param_2, undefined4 param_3, undefined4 param_4, undefined4 param_5, undefined4 param_6)	unknown	int	STACK:undefined4:param_1:expl;STACK:undefined4:param_2:expl;STACK:undefined4:param_3:expl;STACK:undefined4:param_4:expl;STACK:undefined4:param_5:expl;STACK:undefined4:param_6:expl	6	24	0x18	slot 5 = 24 bytes	005aad48:movd mm0, dword ptr [esp + 0x18]=[0f6e442418]	005aae23:ret 0x18=[c21800]	COMPLETE_ENUMERATION	HIGH	ARITY	REPRODUCED_INDEPENDENTLY
0x005aae26	CFastVB__DispatchOp_Slot30_005aae26	int CFastVB__DispatchOp_Slot30_005aae26(void)	d2d031234fb97a51961177729ca07f5a57c8346f54c46cf554767ded1965ab6d	int CFastVB__DispatchOp_Slot30_005aae26(undefined4 param_1, undefined4 param_2, undefined4 param_3)	unknown	int	STACK:undefined4:param_1:expl;STACK:undefined4:param_2:expl;STACK:undefined4:param_3:expl	3	12	0xc	slot 2 = 12 bytes	005aae2c:mov edx, dword ptr [esp + 0xc]=[8b54240c]	005aae66:ret 0xc=[c20c00]	COMPLETE_ENUMERATION	HIGH	ARITY	REPRODUCED_INDEPENDENTLY
0x005aae69	CFastVB__DispatchOp_Slot34_005aae69	int CFastVB__DispatchOp_Slot34_005aae69(void)	130baeb5431bcb4e88f0e4e9c600d080265434e9850f93e86af89c9be9529616	int CFastVB__DispatchOp_Slot34_005aae69(undefined4 param_1, undefined4 param_2, undefined4 param_3, undefined4 param_4)	unknown	int	STACK:undefined4:param_1:expl;STACK:undefined4:param_2:expl;STACK:undefined4:param_3:expl;STACK:undefined4:param_4:expl	4	16	0x10	slot 3 = 16 bytes	005aae6f:mov ecx, dword ptr [esp + 0x10]=[8b4c2410]	005aaf4a:ret 0x10=[c21000]	COMPLETE_ENUMERATION	HIGH	ARITY	REPRODUCED_INDEPENDENTLY
0x005aaf4d	CFastVB__DispatchOp_Slot58_005aaf4d	int CFastVB__DispatchOp_Slot58_005aaf4d(void)	c57b0a8d6516527e06e31816d37224d99a629ce99d7be1e5f338f91b3971b524	int CFastVB__DispatchOp_Slot58_005aaf4d(undefined4 param_1, undefined4 param_2, undefined4 param_3, undefined4 param_4)	unknown	int	STACK:undefined4:param_1:expl;STACK:undefined4:param_2:expl;STACK:undefined4:param_3:expl;STACK:undefined4:param_4:expl	4	16	0x10	slot 3 = 16 bytes	005aaf51:mov edx, dword ptr [esp + 0x10]=[8b542410]	005aafc5:ret 0x10=[c21000]	COMPLETE_ENUMERATION	HIGH	ARITY	REPRODUCED_INDEPENDENTLY
