index	command	handlerVa	registryRecordVa	cohort	expectedPreName	proposedName	expectedNameSource
78	ShutdownVariable	0x00536330	0x0064E1A0	DEFAULT54	FUN_00536330	IScript__ShutdownVariable	DEFAULT
79	Shutdown	0x00535D00	0x0064E1E0	DEFAULT54	FUN_00535d00	IScript__Shutdown	DEFAULT
80	GetEnergy	0x00535BB0	0x0064E220	DEFAULT54	FUN_00535bb0	IScript__GetEnergy	DEFAULT
81	GetVariable	0x005362A0	0x0064E260	CLASS3_16	IScript__GetWorldTextSlotTimerValue	IScript__GetVariable	USER_DEFINED
90	PlayPCharMessage	0x005377E0	0x0064E4A0	MSG5	IScript__PlaySoundWithPriority	IScript__PlayPCharMessage	USER_DEFINED
91	PlayPCharMessageWait	0x005378E0	0x0064E4E0	MSG5	IScript__PlaySoundWithFadeAndPriority	IScript__PlayPCharMessageWait	USER_DEFINED
92	GetInitialHealth	0x00535A30	0x0064E520	DEFAULT54	FUN_00535a30	IScript__GetInitialHealth	DEFAULT
98	EnableWeapon	0x00534FB0	0x0064E6A0	CLASS3_16	IScript__SetThingValueViaVFunc198_FromArg	IScript__EnableWeapon	USER_DEFINED
99	DisableWeapon	0x00534FE0	0x0064E6E0	CLASS3_16	IScript__SetThingValueViaVFunc19C_FromArg	IScript__DisableWeapon	USER_DEFINED
101	DisableFlightMode	0x00535090	0x0064E760	DEFAULT54	FUN_00535090	IScript__DisableFlightMode	DEFAULT
102	GetSquad	0x005365C0	0x0064E7A0	DEFAULT54	FUN_005365c0	IScript__GetSquad	DEFAULT
105	Magnitude	0x005345D0	0x0064E860	CLASS3_16	IScript__GetVectorLength	IScript__Magnitude	USER_DEFINED
108	IsNumberBetween	0x005347B0	0x0064E920	CLASS3_16	IScript__CheckValueInRange	IScript__IsNumberBetween	USER_DEFINED
110	SetAllSegmentsVulnerable	0x00534390	0x0064E9A0	DEFAULT54	FUN_00534390	IScript__SetAllSegmentsVulnerable	DEFAULT
111	GetRealHealth	0x005359D0	0x0064E9E0	DEFAULT54	FUN_005359d0	IScript__GetRealHealth	DEFAULT
117	GetConfiguration	0x005357B0	0x0064EB60	CLASS3_16	IScript__GetThingTypeName	IScript__GetConfiguration	USER_DEFINED
118	AddHelpMessage	0x00533B30	0x0064EBA0	DEFAULT54	FUN_00533b30	IScript__AddHelpMessage	DEFAULT
121	MPDeclarePlayerWon	0x00533A40	0x0064EC60	DEFAULT54	FUN_00533a40	IScript__MPDeclarePlayerWon	DEFAULT
127	Launch	0x005344A0	0x0064EDE0	DEFAULT54	FUN_005344a0	IScript__Launch	DEFAULT
128	HalfDestroy	0x00534370	0x0064EE20	DEFAULT54	FUN_00534370	IScript__HalfDestroy	DEFAULT
136	SetLockable	0x00533950	0x0064F020	DEFAULT54	FUN_00533950	IScript__SetLockable	DEFAULT
138	SetStealth	0x00535530	0x0064F0A0	CLASS3_16	IScript__SetThingFloatViaVFunc1C8_FromArg	IScript__SetStealth	USER_DEFINED
139	TeleportOrientation	0x00536A60	0x0064F0E0	DEFAULT54	FUN_00536a60	IScript__TeleportOrientation	DEFAULT
140	EnableSpawner	0x00535010	0x0064F120	CLASS3_16	IScript__SetThingValueViaEngineHelper4FE390_FromArg	IScript__EnableSpawner	USER_DEFINED
141	DisableSpawner	0x00535040	0x0064F160	CLASS3_16	IScript__SetThingValueViaEngineHelper4FE3F0_FromArg	IScript__DisableSpawner	USER_DEFINED
