retail_va	demo_va	current_name	mapping_basis	body_normalized_equal	body_bytes	instruction_count	raw_equal	raw_diff_bytes	retail_normalized_sha256
0x0053b5f0	0x0053bc10	CDXBattleLine__AppendOverlayVertex	BRACKETED_CONSTANT_DELTA	true	534	148	false	46	085df1e7ac76f7dc4b410e4b87e0c3f8dda08162d842fc1c1528801efbcb6721
0x0053b810	0x0053be30	HYP__ZeroDwords3_0089c8c8	BRACKETED_CONSTANT_DELTA	true	31	4	false	6	6dc5fd2d5ba0f07e273628e3c451d85565835b00d485a1e481735614b96ab582
0x0053b830	0x0053be50	HYP__InitIdentityMat_0089c898	BRACKETED_CONSTANT_DELTA	true	195	36	false	24	65f64a200746babbe5e95dab9f71b7c42a5302106bb4ac606ea420f72eb14b17
0x0053b900	0x0053bf20	CClouds__Constructor	BRACKETED_CONSTANT_DELTA	true	217	67	false	28	4108ddd6b5fc3de83a265007548ef9e0189533ac0f95b7e1d971ffe4b5234cc1
0x0053b9e0	0x0053c000	CClouds__VFunc_0_0053b9e0	RTTI_VTABLE_ANCHOR	true	6	2	false	2	fc9727eae305b45d1df8a58191610014e9104fa57b472dca0dbbded60cb84d82
0x0053b9f0	0x0053c010	CClouds__VFunc_3_0053b9f0	RTTI_VTABLE_ANCHOR	true	35	11	true	0	7b4c7e7f07e2d5c956dee2f59df1e7fbd5f1c5ea5094c65de759a84904046c74
0x0053ba20	0x0053c040	CClouds__Shutdown	RTTI_VTABLE_ANCHOR	true	61	21	false	8	01369da06fc79de377ecd2f9d4cb3bf16d13bc3630a94793b6dd9411f3f9440a
0x0053ba60	0x0053c080	HYP__ZeroDwords3_0089c908	BRACKETED_CONSTANT_DELTA	true	31	4	false	6	6dc5fd2d5ba0f07e273628e3c451d85565835b00d485a1e481735614b96ab582
0x0053ba80	0x0053c0a0	HYP__InitIdentityMat_0089c8d8	BRACKETED_CONSTANT_DELTA	true	195	36	false	24	65f64a200746babbe5e95dab9f71b7c42a5302106bb4ac606ea420f72eb14b17
0x0053bb50	0x0053c170	HYP__CDXEngine__RenderOptionalFullscreenEffectPass	BRACKETED_CONSTANT_DELTA	true	228	65	false	27	149caef24efa68f411908393b9d943a67b72e41ba9af5fab1ea6fba6411ae1f1
