addr	currentRanges	proposedRanges	subtype	terminatorVa	terminatorBytes	deltaBytes	byteProof	agreesWithNote
0x0054d210	0054d210-0054d2cf;0054d2fd-0054d3e3	0054d210-0054d3e3	FILL_HOLE	0054d2fc	c3	45	0054d2d0-0054d2fc=8d4c2414c7842450010000ff..0081c450010000c3	YES
0x0055ddca	0055ddca-0055de6c	0055ddca-0055de6e	EXTEND_TAIL	0055de6e	c3	2	0055de6d-0055de6e=5fc3	YES
0x00560181	00560181-0056027d	00560181-00560288	EXTEND_TAIL	0056027e	8b65e8ff7598e830	11	0056027e-00560288=8b65e8ff7598e830dbffff	PARTIAL
0x00560289	00560289-005602aa	00560289-005602ad	EXTEND_TAIL	005602ad	c3	3	005602ab-005602ad=5959c3	YES
0x00560627	00560627-0056068d;005606a8-005606c4	00560627-005606c4	FILL_HOLE	005606a5	8b75e4	26	0056068e-005606a7=ff75ece852d5ffff59c38b65..7d108b5d088b75e4	PARTIAL
0x00560885	00560885-00560a3c	00560885-00560a48	EXTEND_TAIL	00560a3d	6a0158c38b65e8e9	12	00560a3d-00560a48=6a0158c38b65e8e9b1010000	YES
0x00560bfa	00560bfa-00560c41;00560c4d-00560c5a	00560bfa-00560c5a	FILL_HOLE	00560c49	8365fc00	11	00560c42-00560c4c=6a0158c38b65e88365fc00	YES
0x00560c5b	00560c5b-00560c97;00560c9f-00560cb0	00560c5b-00560cb0	FILL_HOLE	00560c9c	8b65e8	7	00560c98-00560c9e=6a0158c38b65e8	YES
0x00565ee0	00565ee0-00565fef;00566003-005660a3;005660b6-00566103	00565ee0-00566103	FILL_HOLE	00566000	8b5de4	37	00565ff0-00566002=6a0158c38b65e833ff897ddc834dfcff8b5de4 + 005660a4-005660b5=6a0158c38b65e833ff33db834dfcff8b75d8	YES
0x0056a69e	0056a69e-0056a796;0056a7a2-0056a7e6	0056a69e-0056a7e6	FILL_HOLE	0056a7a0	33f6	11	0056a797-0056a7a1=6a0158c38b65e833db33f6	YES
0x0056defa	0056defa-0056dfe5;0056dff9-0056e042;0056e04e-0056e0be	0056defa-0056e0be	FILL_HOLE	0056dff6	8b75d8	30	0056dfe6-0056dff8=6a0158c38b65e833ff897dd4834dfcff8b75d8 + 0056e043-0056e04d=6a0158c38b65e833ff33db	NO
0x0056e34f	0056e34f-0056e407;0056e413-0056e461	0056e34f-0056e461	FILL_HOLE	0056e411	33f6	11	0056e408-0056e412=6a0158c38b65e833ff33f6	PARTIAL
0x0056e462	0056e462-0056e520;0056e52c-0056e57f	0056e462-0056e57f	FILL_HOLE	0056e52a	33ff	11	0056e521-0056e52b=6a0158c38b65e833f633ff	YES
0x0056e62d	0056e62d-0056e7e3;0056e7fa-0056e852;0056e865-0056e8a9	0056e62d-0056e8a9	FILL_HOLE	0056e7f9	5f	40	0056e7e4-0056e7f9=6a0158c38b65e833db895ddc834dfcff8b75146a015f + 0056e853-0056e864=6a0158c38b65e833db33ff834dfcff8b75e0	YES
0x005771dd	005771dd-00577236	005771dd-00577238	RET_IMM_SPLIT	00577236	c21000	2	00577237-00577238=1000	YES
0x0057726d	0057726d-005772c6	0057726d-005772c8	RET_IMM_SPLIT	005772c6	c21000	2	005772c7-005772c8=1000	YES
0x005775c3	005775c3-005776a2	005775c3-005776a4	RET_IMM_SPLIT	005776a2	c20800	2	005776a3-005776a4=0800	YES
0x00577a3e	00577a3e-00577b14	00577a3e-00577b16	RET_IMM_SPLIT	00577b14	c21000	2	00577b15-00577b16=1000	YES
0x00577eaa	00577eaa-00577f8a	00577eaa-00577f8c	RET_IMM_SPLIT	00577f8a	c21000	2	00577f8b-00577f8c=1000	YES
0x0058920c	0058920c-00589211;00589217-0058926a	0058920c-0058926a	FILL_HOLE	00589215	eb45	5	00589212-00589216=8b45c4eb45	YES
0x005d0c7f	005d0c7f-005d0d80;005d0d8d-005d0dfd;005d0e10-005d0e87	005d0c7f-005d0e87	FILL_HOLE	005d0d8a	8975e4	30	005d0d81-005d0d8c=6a0158c38b65e833f68975e4 + 005d0dfe-005d0e0f=6a0158c38b65e833f633db834dfcff8b7dd4	YES
