# Ghidra function-name table -- address -> current saved symbol
# Purpose : the resolution authority for tools/re_function_doc_names_check.py.
#           It is a name index, not a database and not a disassembly.
# Derived : live maintainer Ghidra project (C:\Users\david\Ghidra\Projects), exported headless by
#           tools/ExportFullFunctionInventory.java on 2026-07-27 17:49 local, after
#           the 580-creation / AIF / DPI mutation waves, the 533-name vtable naming
#           wave, and both destructor demotions (0x0048c300, 0x005386d0).
# Specimen: BEA.exe MD5 3b456964020070efe696d2cc09464a55,
#           SHA-256 74154bfae14ddc8ecb87a0766f5bc381c7b7f1ab334ed7a753040eda1e1e7750
# Source  : local-lab/re-ledger/naming-wave-2026-07-27/inv-LIVE2-functions.tsv
#           sha256 2f9d352eaec3005d1827660f86403d25e45b67158eeba1b98363565a30811228
#           (gitignored; this file is the promoted 4-column projection of it)
# Reproduced: an independent export of the same database (inv-LIVE1-functions.tsv)
#           agrees with it on all 7555 names, 0 differences.
# DATED PROJECTION: reverse-engineering/ghidra/ was promoted from the 8,125-function
#           live project on 2026-08-09. This 7,555-row table remains the historical
#           2026-07-27 name index used by its owning documentation check; it is no
#           longer a current database projection.
# Columns : address, name, bodyMin, bodyMax (hex). 67 functions have
#           non-contiguous bodies, so bodyMin..bodyMax over-covers for those;
#           6 of the 7555 spans overlap their predecessor.
# text_range: 0x00401000-0x005d7fff
address	name	bodyMin	bodyMax
0x00407060	CBattleEngine__MoveBurstReaderToCooldownSet	0x00407060	0x0040713e
0x00407140	SharedUnitVFunc__RemoveActiveReaderById_00407140	0x00407140	0x004071a8
0x004071b0	CBattleEngine__VFunc_81_004071b0	0x004071b0	0x00407305
0x00407310	CBattleEngine__IsExpectedCurrentWeapon	0x00407310	0x00407347
0x00407350	CBattleEngine__VFunc_39_00407350	0x00407350	0x004074cb
0x004074d0	CBattleEngine__Gravity	0x004074d0	0x0040751e
0x00407540	CBattleEngine__UpdateMouseLookAngles	0x00407540	0x00407939
0x00407940	CBattleEngine__RandomizeOffsets4B8_4C0	0x00407940	0x00407a42
0x00407a50	CBattleEngine__UpdateCameraVectorsAndInput	0x00407a50	0x004080eb
0x004080f0	CBattleEngine__IsWalkerGroundedOrCollision	0x004080f0	0x0040811d
0x00408120	SharedUnitVFunc__IsState2AndBelowTimeDeltaThreshold_00408120	0x00408120	0x0040814a
0x00408150	CBattleEngine__ProcessStateSwapAndDeathChecks	0x00408150	0x004081b0
0x004081c0	CBattleEngine__Move	0x004081c0	0x00409751
0x00409760	LinkedPtrCursor__MoveFirstAndGet	0x00409760	0x00409770
0x00409780	LinkedPtrCursor__MoveNextAndGet	0x00409780	0x00409790
0x004097a0	CUnit__PushTransformHistoryAndSetCurrent	0x004097a0	0x00409872
0x00409880	CBattleEngine__GetLastValidRangeStep100	0x00409880	0x004098a2
0x004098b0	FUN_004098b0	0x004098b0	0x004098b4
0x004098c0	CLine__ForwardToDispatchTargetVFunc10	0x004098c0	0x004098df
0x004098e0	CLine__ctor_copy	0x004098e0	0x0040994e
0x00409950	CMonitor__UpdateSoundEventPlaybackForReader	0x00409950	0x00409dd3
0x00409de0	CBattleEngine__VFunc_25_00409de0	0x00409de0	0x00409e52
0x00409e60	CGeneralVolume__ToDoubleIdentity	0x00409e60	0x00409e72
0x00409e80	CBattleEngine__AutoZoomOut	0x00409e80	0x00409e8a
0x00409e90	CBattleEngine__ZoomOut	0x00409e90	0x00409eb6
0x00409ec0	CBattleEngine__ZoomIn	0x00409ec0	0x00409ee6
0x00409ef0	CGeneralVolume__DispatchModeSpecificReset_13CF0_or_11BF0	0x00409ef0	0x00409f16
0x00409f20	CGeneralVolume__Reset588AndDispatchModeSpecific_13CC0_or_11B90	0x00409f20	0x00409f6f
