target_addr	target_name	target_owner	winner_owner	winner_calls	second_calls	total_owner_calls	total_calls_seen	strength	owners
0x00440c00	CDamage__Unk_00440c00	CDamage	CLTShell	1	0	1	1	weak	CLTShell:1
0x00440c40	CDamage__Unk_00440c40	CDamage	CGame	1	0	1	1	weak	CGame:1
0x00440eb0	CDamage__Unk_00440eb0	CDamage	CDXEngine	1	0	1	1	weak	CDXEngine:1
0x00440f80	CDamage__Unk_00440f80	CDamage	CDXEngine	1	0	1	1	weak	CDXEngine:1
0x00442ac0	CDestructableSegment__Unk_00442ac0	CDestructableSegment	CDestroyableSegment	1	0	1	1	weak	CDestroyableSegment:1
0x00443fc0	CDestroyableSegment__Unk_00443fc0	CDestroyableSegment	CHiveBoss	1	0	1	1	weak	CHiveBoss:1
0x00444030	CDestroyableSegment__Unk_00444030	CDestroyableSegment	CUnit	1	0	1	1	weak	CUnit:1
0x00444160	CDestroyableSegment__Unk_00444160	CDestroyableSegment	CUnit	1	0	1	1	weak	CUnit:1
0x00444330	CDestroyableSegment__Unk_00444330	CDestroyableSegment	CDXCompass	1	0	1	1	weak	CDXCompass:1
0x00444370	CDestroyableSegment__Unk_00444370	CDestroyableSegment	CSphere	1	0	1	1	weak	CSphere:1
0x004443f0	CDestroyableSegment__Unk_004443f0	CDestroyableSegment	CUnit	1	0	1	1	weak	CUnit:1
0x00444520	CDestroyableSegment__Unk_00444520	CDestroyableSegment	CHiveBoss	1	0	1	1	weak	CHiveBoss:1
0x00450400	CFEPBEConfig__Unk_00450400	CFEPBEConfig	CFEPMultiplayerStart	1	0	1	1	weak	CFEPMultiplayerStart:1
0x00450440	CFEPBEConfig__Unk_00450440	CFEPBEConfig	CFEPMultiplayerStart	1	0	1	1	weak	CFEPMultiplayerStart:1
0x00464bc0	CFEPSaveGame__Unk_00464bc0	CFEPSaveGame	CFEPDevelopment	1	0	1	1	weak	CFEPDevelopment:1
0x00472570	CGame__Unk_00472570	CGame	CMesh	1	0	1	1	weak	CMesh:1
0x004725f0	CGame__Unk_004725f0	CGame	CExplosionInitThing	1	0	1	1	weak	CExplosionInitThing:1
0x00472650	CGame__Unk_00472650	CGame	CWorldMeshList	1	0	1	1	weak	CWorldMeshList:1
0x00472a10	CGameInterface__Unk_00472a10	CGameInterface	CGame	1	0	1	1	weak	CGame:1
0x0047eb00	CHeightField__Unk_0047eb00	CHeightField	CStaticShadows	1	0	1	1	weak	CStaticShadows:1
0x004815c0	CHud__Unk_004815c0	CHud	CGame	1	0	1	1	weak	CGame:1
0x00481af0	CHud__Unk_00481af0	CHud	CGame	1	0	1	1	weak	CGame:1
0x00482590	CSphere__Unk_00482590	CSphere	CExplosionInitThing	1	0	1	1	weak	CExplosionInitThing:1
0x004879e0	CExplosionInitThing__Unk_004879e0	CExplosionInitThing	CDXEngine	1	0	1	1	weak	CDXEngine:1
0x00488aa0	CIBuffer__Unk_00488aa0	CIBuffer	CDXTrees	1	0	1	1	weak	CDXTrees:1
0x0048a4e0	CIBuffer__Unk_0048a4e0	CIBuffer	CInfantryGuide	1	0	1	1	weak	CInfantryGuide:1
0x00495030	CMCBuggy__Unk_00495030	CMCBuggy	CMeshPart	1	0	1	1	weak	CMeshPart:1
0x00495090	CMCBuggy__Unk_00495090	CMCBuggy	CMeshPart	1	0	1	1	weak	CMeshPart:1
0x004956a0	CMCBuggy__Unk_004956a0	CMCBuggy	CMCMech	1	0	1	10	weak	CMCMech:1
0x004a17b0	CMemoryManager__Unk_004a17b0	CMemoryManager	CDXEngine	1	0	1	1	weak	CDXEngine:1
0x004a2a20	CMemoryManager__Unk_004a2a20	CMemoryManager	CLTShell	1	0	1	1	weak	CLTShell:1
0x004a52b0	CMesh__Unk_004a52b0	CMesh	CLTShell	1	0	1	1	weak	CLTShell:1
0x004a5430	CMesh__Unk_004a5430	CMesh	CUnitAI	1	0	1	2	weak	CUnitAI:1
0x004aa5a0	CMesh__Unk_004aa5a0	CMesh	CRTMesh	1	0	1	1	weak	CRTMesh:1
0x004ab330	CMesh__Unk_004ab330	CMesh	CDXImposter	1	0	1	1	weak	CDXImposter:1
0x004ad7f0	CInfluenceMap__Unk_004ad7f0	CInfluenceMap	CBattleEngine	1	0	1	1	weak	CBattleEngine:1
0x004ae110	CMeshPart__Unk_004ae110	CMeshPart	CMeshCollisionVolume	1	0	1	1	weak	CMeshCollisionVolume:1
0x004ae1a0	CMeshPart__Unk_004ae1a0	CMeshPart	CMeshCollisionVolume	1	0	1	1	weak	CMeshCollisionVolume:1
0x004ae220	CMeshPart__Unk_004ae220	CMeshPart	CStaticShadows	1	0	1	2	weak	CStaticShadows:1
0x004ae430	CMeshPart__Unk_004ae430	CMeshPart	CStaticShadows	1	0	1	2	weak	CStaticShadows:1
0x004aea50	CMeshPart__Unk_004aea50	CMeshPart	CMesh	1	0	1	1	weak	CMesh:1
0x004aede0	CMeshPart__Unk_004aede0	CMeshPart	CMesh	1	0	1	1	weak	CMesh:1
0x004af110	CMeshPart__Unk_004af110	CMeshPart	CMesh	1	0	1	1	weak	CMesh:1
0x004b0c40	CMeshPart__Unk_004b0c40	CMeshPart	CMesh	1	0	1	1	weak	CMesh:1
0x004b0d00	CMeshPart__Unk_004b0d00	CMeshPart	CMCMech	1	0	1	1	weak	CMCMech:1
0x004b1d30	CMeshPart__Unk_004b1d30	CMeshPart	CMesh	1	0	1	1	weak	CMesh:1
0x004b8e70	CMessageLog__Unk_004b8e70	CMessageLog	CGame	1	0	1	1	weak	CGame:1
0x004b93f0	CMessageLog__Unk_004b93f0	CMessageLog	CDXEngine	1	0	1	1	weak	CDXEngine:1
0x004c7900	CRocket__Unk_004c7900	CRocket	CPDSimpleSprite	1	0	1	1	weak	CPDSimpleSprite:1
0x004cdd70	CRocket__Unk_004cdd70	CRocket	CMessageLog	1	0	1	2	weak	CMessageLog:1
0x004d04d0	CPauseMenu__Unk_004d04d0	CPauseMenu	CMenuItemDropdown	1	0	1	1	weak	CMenuItemDropdown:1
0x004d0510	CPauseMenu__Unk_004d0510	CPauseMenu	CGame	1	0	1	1	weak	CGame:1
0x004d10b0	CGillMHead__Unk_004d10b0	CGillMHead	CGame	1	0	1	1	weak	CGame:1
0x004d28a0	CPlayer__Unk_004d28a0	CPlayer	CGame	1	0	1	1	weak	CGame:1
0x004d2a50	CPlayer__Unk_004d2a50	CPlayer	CMonitor	1	0	1	2	weak	CMonitor:1
0x004d2b40	CPlayer__Unk_004d2b40	CPlayer	CExplosionInitThing	1	0	1	1	weak	CExplosionInitThing:1
0x004d2bb0	CPlayer__Unk_004d2bb0	CPlayer	CExplosionInitThing	1	0	1	1	weak	CExplosionInitThing:1
0x004e1190	CSoundManager__Unk_004e1190	CSoundManager	CUnit	1	0	1	1	weak	CUnit:1
0x004e1300	CSoundManager__Unk_004e1300	CSoundManager	CGame	1	0	1	1	weak	CGame:1
0x004e1330	CSoundManager__Unk_004e1330	CSoundManager	CGame	1	0	1	1	weak	CGame:1
0x004e18d0	CSoundManager__Unk_004e18d0	CSoundManager	CMonitor	1	0	1	1	weak	CMonitor:1
0x004e5c30	CSPtrSet__Unk_004e5c30	CSPtrSet	CDestroyableSegment	1	0	1	1	weak	CDestroyableSegment:1
0x004f3a70	CThing__Unk_004f3a70	CThing	CCSPersistentThing	1	0	1	1	weak	CCSPersistentThing:1
0x004f45a0	CUnit__Unk_004f45a0	CUnit	CUnitAI	1	0	1	1	weak	CUnitAI:1
0x004f5b80	CTokenArchive__Unk_004f5b80	CTokenArchive	CParticleDescriptor	1	0	1	10	weak	CParticleDescriptor:1
0x004f6430	CTree__Unk_004f6430	CTree	CGame	1	0	1	1	weak	CGame:1
0x004f6fd0	CUnit__Unk_004f6fd0	CUnit	OID	1	0	1	1	weak	OID:1
0x004fe390	CEngine__Unk_004fe390	CEngine	IScript	1	0	1	1	weak	IScript:1
0x004fe3f0	CEngine__Unk_004fe3f0	CEngine	IScript	1	0	1	1	weak	IScript:1
0x00501360	CWaypoint__Unk_00501360	CWaypoint	CUnitAI	1	0	1	2	weak	CUnitAI:1
0x005016b0	CEngine__Unk_005016b0	CEngine	PCPlatform	1	0	1	1	weak	PCPlatform:1
0x005019d0	CVertexShader__Unk_005019d0	CVertexShader	CDXMeshVB	1	0	1	1	weak	CDXMeshVB:1
0x00501ba0	CVertexShader__Unk_00501ba0	CVertexShader	CEngine	1	0	1	1	weak	CEngine:1
0x00502920	CVertexShader__Unk_00502920	CVertexShader	CWaterRenderSystem	1	0	1	1	weak	CWaterRenderSystem:1
0x00503ac0	CVertexShader__Unk_00503ac0	CVertexShader	CDXEngine	1	0	1	1	weak	CDXEngine:1
0x00505ab0	CWaypointManager__Unk_00505ab0	CWaypointManager	CWorld	1	0	1	1	weak	CWorld:1
0x005069f0	CEngine__Unk_005069f0	CEngine	CGeneralVolume	1	0	1	2	weak	CGeneralVolume:1
0x00507ab0	OID__Unk_00507ab0	OID	CUnit	1	0	1	1	weak	CUnit:1
0x005088b0	OID__Unk_005088b0	OID	CUnit	1	0	1	1	weak	CUnit:1
0x00509140	OID__Unk_00509140	OID	CWarspite	1	0	1	1	weak	CWarspite:1
0x00509e90	CEngine__Unk_00509e90	CEngine	CGeneralVolume	1	0	1	1	weak	CGeneralVolume:1
0x0050ab60	CVBufTexture__Unk_0050ab60	CVBufTexture	CDXEngine	1	0	1	1	weak	CDXEngine:1
0x0050abb0	CWorld__Unk_0050ada0	CWorld	CGame	1	0	1	1	weak	CGame:1
0x0050abc0	CWorld__Unk_0050abc0	CWorld	CThing	1	0	1	1	weak	CThing:1
0x0050af70	CWorld__Unk_0050af70	CWorld	CCutscene	1	0	1	4	weak	CCutscene:1
0x0050d7d0	CWorld__Unk_0050d7d0	CWorld	CGame	1	0	1	1	weak	CGame:1
0x0050ef30	CWorldPhysicsManager__Unk_0050ef30	CWorldPhysicsManager	CCarrier	1	0	1	1	weak	CCarrier:1
0x0050f030	CWorldPhysicsManager__Unk_0050f030	CWorldPhysicsManager	CBigAirUnit	1	0	1	1	weak	CBigAirUnit:1
0x0050f130	CAirUnit__Unk_0050f130	CAirUnit	CGroundAttackAircraft	1	0	1	1	weak	CGroundAttackAircraft:1
0x0050f1a0	CAirUnit__Unk_0050f1a0	CAirUnit	CInfantryUnit	1	0	1	1	weak	CInfantryUnit:1
0x0050f1f0	CAirUnit__Unk_0050f1f0	CAirUnit	CDropship	1	0	1	1	weak	CDropship:1
0x0050f260	CAirUnit__Unk_0050f260	CAirUnit	CPlane	1	0	1	1	weak	CPlane:1
0x0050f2d0	CAirUnit__Unk_0050f2d0	CAirUnit	CDiveBomber	1	0	1	1	weak	CDiveBomber:1
0x0050f340	CAirUnit__Unk_0050f340	CAirUnit	CCarver	1	0	1	1	weak	CCarver:1
0x0050f3b0	CAirUnit__Unk_0050f3b0	CAirUnit	CFenrir	1	0	1	1	weak	CFenrir:1
0x0050f440	CWorldPhysicsManager__Unk_0050f440	CWorldPhysicsManager	CAirUnit	1	0	1	1	weak	CAirUnit:1
0x0050f630	CWorldPhysicsManager__Unk_0050f630	CWorldPhysicsManager	CRelaxedSquad	1	0	1	1	weak	CRelaxedSquad:1
0x0050f8d0	CWorldPhysicsManager__Unk_0050f8d0	CWorldPhysicsManager	CMissile	1	0	1	1	weak	CMissile:1
0x0050fd90	CWorldPhysicsManager__Unk_0050fd90	CWorldPhysicsManager	CComponent	1	0	1	1	weak	CComponent:1
0x0050fe10	CWorldPhysicsManager__Unk_0050fe10	CWorldPhysicsManager	CGillMHead	1	0	1	1	weak	CGillMHead:1
0x0050fe90	CWorldPhysicsManager__Unk_0050fe90	CWorldPhysicsManager	CTentacle	1	0	1	1	weak	CTentacle:1
0x0050fff0	CWorldPhysicsManager__Unk_0050fff0	CWorldPhysicsManager	CExplosion	1	0	1	1	weak	CExplosion:1
0x00510250	CWorldPhysicsManager__Unk_00510250	CWorldPhysicsManager	CHazard	1	0	1	1	weak	CHazard:1
0x00510520	CWorldPhysicsManager__Unk_00510520	CWorldPhysicsManager	CGame	1	0	1	1	weak	CGame:1
0x00510740	CWorldPhysicsManager__Unk_00510740	CWorldPhysicsManager	CGame	1	0	1	1	weak	CGame:1
0x00510800	CWorldPhysicsManager__Unk_00510800	CWorldPhysicsManager	CLTShell	1	0	1	1	weak	CLTShell:1
0x00511440	CWorldPhysicsManager__Unk_00511440	CWorldPhysicsManager	CSpawnerThng	1	0	1	1	weak	CSpawnerThng:1
0x00511bc0	CVBufTexture__Unk_00511bc0	CVBufTexture	CUnit	1	0	1	1	weak	CUnit:1
0x00511ca0	CVBufTexture__Unk_00511ca0	CVBufTexture	CWorldPhysicsManager	1	0	1	1	weak	CWorldPhysicsManager:1
0x00511d20	CVBufTexture__Unk_00511d20	CVBufTexture	CWorldPhysicsManager	1	0	1	1	weak	CWorldPhysicsManager:1
0x00512490	CVBufTexture__Unk_00512490	CVBufTexture	PLATFORM	1	0	1	1	weak	PLATFORM:1
0x00512630	CVBufTexture__Unk_00512630	CVBufTexture	Platform	1	0	1	1	weak	Platform:1
0x00512fc0	CVBufTexture__Unk_00512fc0	CVBufTexture	PlatformInput	1	0	1	1	weak	PlatformInput:1
0x00523b30	CVBufTexture__Unk_00523b30	CVBufTexture	CLTShell	1	0	1	1	weak	CLTShell:1
0x00523bc0	CVBufTexture__Unk_00523bc0	CVBufTexture	CUnitAI	1	0	1	2	weak	CUnitAI:1
0x005282b0	CEngine__Unk_005282b0	CEngine	PCPlatform	1	0	1	1	weak	PCPlatform:1
0x0052c430	CD3DApplication__Unk_0052c430	CD3DApplication	CLTShell	1	0	1	1	weak	CLTShell:1
0x00533840	IScript__Unk_00533840	IScript	CUnit	1	0	1	1	weak	CUnit:1
0x00535350	IScript__Unk_00535350	IScript	CVM	1	0	1	2	weak	CVM:1
0x0053c510	CVBufTexture__Unk_0053c510	CVBufTexture	CExplosionInitThing	1	0	1	1	weak	CExplosionInitThing:1
0x0053f0a0	CVBufTexture__Unk_0053f0a0	CVBufTexture	CDXFMV	1	0	1	2	weak	CDXFMV:1
0x00540970	CDXEngine__Unk_00540970	CDXEngine	CConsole	1	0	1	1	weak	CConsole:1
0x005428d0	CDXEngine__Unk_005428d0	CDXEngine	CGame	1	0	1	1	weak	CGame:1
0x00542a30	CDXEngine__Unk_00542a30	CDXEngine	CImposter	1	0	1	1	weak	CImposter:1
0x00544040	CDXEngine__Unk_00544040	CDXEngine	CEngine	1	0	1	1	weak	CEngine:1
0x005441a0	CDXEngine__Unk_005441a0	CDXEngine	CResourceAccumulator	1	0	1	1	weak	CResourceAccumulator:1
0x00544fb0	CDXLandscape__Unk_00544fb0	CDXLandscape	CCutscene	1	0	1	1	weak	CCutscene:1
0x00547a60	CDXEngine__Unk_00547a60	CDXEngine	CDXLandscape	1	0	1	1	weak	CDXLandscape:1
0x00548f90	CDXEngine__Unk_00548f90	CDXEngine	CLTShell	1	0	1	1	weak	CLTShell:1
0x00549570	CDXEngine__Unk_00549570	CDXEngine	CMeshRenderer	1	0	1	1	weak	CMeshRenderer:1
0x0054b800	CDXEngine__Unk_0054b800	CDXEngine	CHudComponent	1	0	1	1	weak	CHudComponent:1
0x0055db72	CFastVB__Unk_0055db72	CFastVB	CDXLandscape	1	0	1	1	weak	CDXLandscape:1
0x0055dccd	CDXTexture__Unk_0055dccd	CDXTexture	OID	1	0	1	1	weak	OID:1
0x0055e412	CDXTexture__Unk_0055e412	CDXTexture	FatalError	1	0	1	1	weak	FatalError:1
0x0055e902	CDXTexture__Unk_0055e902	CDXTexture	CDXEngine	1	0	1	1	weak	CDXEngine:1
0x0055fa62	CDXTexture__Unk_0055fa62	CDXTexture	CMeshCollisionVolume	1	0	1	1	weak	CMeshCollisionVolume:1
0x00568a51	CDXTexture__Unk_00568a51	CDXTexture	CTexture	1	0	1	1	weak	CTexture:1
0x00568ada	CDXTexture__Unk_00568ada	CDXTexture	CTexture	1	0	1	1	weak	CTexture:1
0x00569449	CDXTexture__Unk_00569449	CDXTexture	CTexture	1	0	1	1	weak	CTexture:1
0x00569e57	CDXTexture__Unk_00569e57	CDXTexture	CFastVB	1	0	1	1	weak	CFastVB:1
0x0056c70a	___Unk_0056c70a		CTexture	1	0	1	1	weak	CTexture:1
0x0056c724	___Unk_0056c724		CTexture	1	0	1	1	weak	CTexture:1
0x0056c80b	___Unk_0056c80b		CTexture	1	0	1	1	weak	CTexture:1
0x0056c981	___Unk_0056c981		CDXTexture	1	0	1	1	weak	CDXTexture:1
0x0056f520	CFastVB__Unk_0056f520	CFastVB	CDXMeshVB	1	0	1	2	weak	CDXMeshVB:1
0x00573630	CMeshCollisionVolume__Unk_00573630	CMeshCollisionVolume	CFastVB	1	0	1	1	weak	CFastVB:1
0x005736a0	CMeshCollisionVolume__Unk_005736a0	CMeshCollisionVolume	CFastVB	1	0	1	1	weak	CFastVB:1
0x0057c7a4	CMeshCollisionVolume__Unk_0057c7a4	CMeshCollisionVolume	CTexture	1	0	1	1	weak	CTexture:1
0x0057ca3a	CMeshCollisionVolume__Unk_0057ca3a	CMeshCollisionVolume	CDXTexture	1	0	1	1	weak	CDXTexture:1
0x0057d446	CWaypointManager__Unk_0057d446	CWaypointManager	CFastVB	1	0	1	1	weak	CFastVB:1
0x005894a9	CMeshCollisionVolume__Unk_005894a9	CMeshCollisionVolume	CTexture	1	0	1	1	weak	CTexture:1
0x00589650	CMeshCollisionVolume__Unk_00589650	CMeshCollisionVolume	CTexture	1	0	1	1	weak	CTexture:1
0x0058bd25	CTexture__Unk_0058bd25	CTexture	CVertexShader	1	0	1	1	weak	CVertexShader:1
0x005907d9	CTexture__Unk_005907d9	CTexture	CVertexShader	1	0	1	1	weak	CVertexShader:1
0x00591340	CMeshCollisionVolume__Unk_00591340	CMeshCollisionVolume	CDXTexture	1	0	1	1	weak	CDXTexture:1
0x00597a61	CFastVB__Unk_00597a61	CFastVB	CTexture	1	0	1	1	weak	CTexture:1
0x00597b87	CFastVB__Unk_00597b87	CFastVB	CTexture	1	0	1	1	weak	CTexture:1
0x00598474	CFastVB__Unk_00598474	CFastVB	CTexture	1	0	1	1	weak	CTexture:1
