target_addr	target_name	from_addr	from_function	ref_type
0059c650	CFastVB__Unk_0059c650	00591c28	CTexture__Unk_005919e0	UNCONDITIONAL_CALL
0059c650	CFastVB__Unk_0059c650	005b3c96	<no_function>	UNCONDITIONAL_CALL
0059c650	CFastVB__Unk_0059c650	005b3ccf	<no_function>	UNCONDITIONAL_CALL
0059c650	CFastVB__Unk_0059c650	005b48fa	<no_function>	UNCONDITIONAL_CALL
0059c700	CFastVB__Unk_0059c700	005ac57f	<no_function>	UNCONDITIONAL_CALL
0059f6dd	CFastVB__Unk_0059f6dd	0059f897	CFastVB__Helper_0059f857	UNCONDITIONAL_CALL
0059f6dd	CFastVB__Unk_0059f6dd	0059fa9d	CFastVB__Helper_0059fa5d	UNCONDITIONAL_CALL
0059f6dd	CFastVB__Unk_0059f6dd	0059fc2b	CFastVB__Helper_0059fbeb	UNCONDITIONAL_CALL
0059f6dd	CFastVB__Unk_0059f6dd	0059fd91	CFastVB__Helper_0059fd51	UNCONDITIONAL_CALL
0059f6dd	CFastVB__Unk_0059f6dd	0059fea1	CFastVB__Helper_0059fe61	UNCONDITIONAL_CALL
0059f6dd	CFastVB__Unk_0059f6dd	005a00df	CFastVB__Helper_005a009f	UNCONDITIONAL_CALL
0059f6dd	CFastVB__Unk_0059f6dd	005a02af	CFastVB__Helper_005a026f	UNCONDITIONAL_CALL
0059f6dd	CFastVB__Unk_0059f6dd	005a1c95	CFastVB__Helper_005a1c55	UNCONDITIONAL_CALL
0059f6dd	CFastVB__Unk_0059f6dd	005a1e9b	CFastVB__Helper_005a1e5b	UNCONDITIONAL_CALL
0059f6dd	CFastVB__Unk_0059f6dd	005a2029	CFastVB__Helper_005a1fe9	UNCONDITIONAL_CALL
0059f6dd	CFastVB__Unk_0059f6dd	005a218f	CFastVB__Helper_005a214f	UNCONDITIONAL_CALL
0059f6dd	CFastVB__Unk_0059f6dd	005a229f	CFastVB__Helper_005a225f	UNCONDITIONAL_CALL
0059f6dd	CFastVB__Unk_0059f6dd	005a24dd	CFastVB__Helper_005a249d	UNCONDITIONAL_CALL
0059f6dd	CFastVB__Unk_0059f6dd	005a26ad	CTexture__Helper_005a266d	UNCONDITIONAL_CALL
005a2a61	CFastVB__Unk_005a2a61	005a0082	CFastVB__Helper_0059fe61	UNCONDITIONAL_CALL
005a2a61	CFastVB__Unk_005a2a61	005a2480	CFastVB__Helper_005a225f	UNCONDITIONAL_CALL
005a2a61	CFastVB__Unk_005a2a61	005980c7	CFastVB__Helper_005980be	DATA
005a2a61	CFastVB__Unk_005a2a61	005980ca	CFastVB__Helper_005980be	DATA
005a2a61	CFastVB__Unk_005a2a61	00598235	CFastVB__Helper_0059822c	DATA
005a2a61	CFastVB__Unk_005a2a61	00598238	CFastVB__Helper_0059822c	DATA
005a2a61	CFastVB__Unk_005a2a61	005980c2	CFastVB__Helper_005980be	DATA
005a2a61	CFastVB__Unk_005a2a61	00598230	CFastVB__Helper_0059822c	DATA
005a38c0	CFastVB__Unk_005a38c0	005986f7	CFastVB__Unk_00598474	DATA
005a47f2	CFastVB__Unk_005a47f2	00598529	CFastVB__Unk_00598474	DATA
005a7617	CFastVB__Unk_005a7617	005985b8	CFastVB__Unk_00598474	DATA
005a7cf0	CFastVB__Unk_005a7cf0	005985cc	CFastVB__Unk_00598474	DATA
005a7e09	CFastVB__Unk_005a7e09	0059869c	CFastVB__Unk_00598474	DATA
005aa0cc	CFastVB__Unk_005aa0cc	005984f1	CFastVB__Unk_00598474	DATA
005aa2f2	CFastVB__Unk_005aa2f2	00598684	CFastVB__Unk_00598474	DATA
005ad590	CFastVB__Unk_005ad590	005ad630	<no_function>	UNCONDITIONAL_CALL
005ad590	CFastVB__Unk_005ad590	005ad858	<no_function>	UNCONDITIONAL_CALL
005ad590	CFastVB__Unk_005ad590	005ada91	<no_function>	UNCONDITIONAL_CALL
005ad590	CFastVB__Unk_005ad590	005adbb1	<no_function>	UNCONDITIONAL_CALL
005b1db0	CFastVB__Unk_005b1db0	0059c77f	CDXTexture__Unk_0059c750	UNCONDITIONAL_CALL
005b1db0	CFastVB__Unk_005b1db0	005b1e87	CTexture__Helper_005b1e16	UNCONDITIONAL_CALL
005b1db0	CFastVB__Unk_005b1db0	005b25ee	CDXTexture__Unk_005b25e0	UNCONDITIONAL_CALL
005b1db0	CFastVB__Unk_005b1db0	0059ca07	CDXTexture__Helper_0059c8c1	UNCONDITIONAL_CALL
005b3440	CFastVB__Unk_005b3440	005b3720	<no_function>	UNCONDITIONAL_CALL
005b35b0	CFastVB__Unk_005b35b0	005b36cc	<no_function>	UNCONDITIONAL_CALL
005b86c0	CFastVB__Unk_005b86c0	005a481a	CFastVB__Unk_005a47f2	UNCONDITIONAL_CALL
005b86c0	CFastVB__Unk_005b86c0	005a507e	CFastVB__Helper_005a5052	UNCONDITIONAL_CALL
005b86c0	CFastVB__Unk_005b86c0	005a54ce	CFastVB__Helper_005a519e	UNCONDITIONAL_CALL
005b86c0	CFastVB__Unk_005b86c0	005a5573	CFastVB__Helper_005a519e	UNCONDITIONAL_CALL
