address	name	signature
0x00450460	CFEPMultiplayerStart__Helper_00450460	void __cdecl CFEPMultiplayerStart__Helper_00450460(float param_1, float param_2, float param_3, uint param_4)
0x00452db0	CFEPGoodies__Helper_00452db0	void CFEPGoodies__Helper_00452db0(void)
0x00452de0	CFEPGoodies__Helper_00452de0	void CFEPGoodies__Helper_00452de0(void)
0x00452fd0	CFEPMultiplayerStart__Helper_00452fd0	void __stdcall CFEPMultiplayerStart__Helper_00452fd0(float param_1)
0x004530b0	CFEPMultiplayerStart__Helper_004530b0	void __stdcall CFEPMultiplayerStart__Helper_004530b0(float param_1, float param_2, float param_3, int param_4)
0x00464b30	CFEPLoadGame__Helper_00464b30	void __cdecl CFEPLoadGame__Helper_00464b30(int param_1)
0x00465640	CLTShell__Helper_00465640	int CLTShell__Helper_00465640(void)
0x00465a20	CFEPLanguageTest__Helper_00465a20	int __stdcall CFEPLanguageTest__Helper_00465a20(void * param_1, void * param_2, float param_3)
0x00465c10	CDXBitmapFont__Helper_00465c10	void CDXBitmapFont__Helper_00465c10(void)
0x00465dd0	CFEPVirtualKeyboard__Helper_00465dd0	bool __thiscall CFEPVirtualKeyboard__Helper_00465dd0(void * this, void * param_1, int param_2)
0x00465f00	CVBufTexture__Helper_00465f00	int CVBufTexture__Helper_00465f00(void)
0x00469430	CFEPDirectory__Helper_00469430	uint __cdecl CFEPDirectory__Helper_00469430(int param_1, int param_2, int param_3, int param_4)
0x0046a2a0	CFEPSaveGame__Helper_0046a2a0	short * __cdecl CFEPSaveGame__Helper_0046a2a0(int param_1)
0x0046b1e0	CFEPSaveGame__Helper_0046b1e0	void __cdecl CFEPSaveGame__Helper_0046b1e0(int param_1)
0x0046b950	CFEPMultiplayerStart__Helper_0046b950	void __thiscall CFEPMultiplayerStart__Helper_0046b950(void * this, int param_1, void * param_2)
0x0046bab0	CFEPMultiplayerStart__Helper_0046bab0	void __thiscall CFEPMultiplayerStart__Helper_0046bab0(void * this, int param_1, int param_2)
0x0046baf0	CFEPWingmen__Helper_0046baf0	void __fastcall CFEPWingmen__Helper_0046baf0(int param_1)
0x0046bc20	CFEPMultiplayerStart__Helper_0046bc20	void __fastcall CFEPMultiplayerStart__Helper_0046bc20(int param_1)
0x00472e50	CVBufTexture__Helper_00472e50	int CVBufTexture__Helper_00472e50(void)
0x00476fe0	CVBufTexture__Helper_00476fe0	void CVBufTexture__Helper_00476fe0(void)
0x00477b70	CVBufTexture__Helper_00477b70	void __thiscall CVBufTexture__Helper_00477b70(void * this, void * param_1, void * param_2, float param_3)
0x00477cb0	CSquadNormal__Helper_00477cb0	int * __stdcall CSquadNormal__Helper_00477cb0(void * param_1)
0x004780f0	CWorld__Helper_004780f0	int CWorld__Helper_004780f0(void)
0x0047c970	CCannon__Helper_0047c970	void __fastcall CCannon__Helper_0047c970(void * param_1)
0x0047ce80	CCannon__Helper_0047ce80	int __fastcall CCannon__Helper_0047ce80(int param_1)
0x0047d6d0	CGroundVehicleGuide__Helper_0047d6d0	void __fastcall CGroundVehicleGuide__Helper_0047d6d0(void * param_1)
0x0047ea20	CWorld__Helper_0047ea20	uint __fastcall CWorld__Helper_0047ea20(int param_1, uint param_2, uint param_3)
0x0047eb80	CStaticShadows__Helper_0047eb80	double __fastcall CStaticShadows__Helper_0047eb80(int param_1, void * param_2)
0x0047ec60	CMonitor__Helper_0047ec60	float * __fastcall CMonitor__Helper_0047ec60(int param_1, void * param_2, void * param_3)
0x0047ef20	CDXBattleLine__Helper_0047ef20	int * __fastcall CDXBattleLine__Helper_0047ef20(void * param_1)
0x0047eff0	CLandscapeTexture__Helper_0047eff0	int CLandscapeTexture__Helper_0047eff0(void)
0x00480a30	CCollisionSeekingRound__Helper_00480a30	void __thiscall CCollisionSeekingRound__Helper_00480a30(void * this, int param_1, int param_2)
0x00480e10	CCollisionSeekingRound__Helper_00480e10	void __thiscall CCollisionSeekingRound__Helper_00480e10(void * this, int param_1, void * param_2)
0x004821b0	CDXCompass__Helper_004821b0	void CDXCompass__Helper_004821b0(void)
0x004821e0	CDXCompass__Helper_004821e0	void CDXCompass__Helper_004821e0(void)
0x004881e0	CVBufTexture__Helper_004881e0	int __thiscall CVBufTexture__Helper_004881e0(void * this, int param_1, int param_2)
0x004885e0	CVBufTexture__Helper_004885e0	void __thiscall CVBufTexture__Helper_004885e0(void * this, int param_1, int param_2)
0x00488ea0	CCollisionSeekingInfantryBloke__Helper_00488ea0	void __fastcall CCollisionSeekingInfantryBloke__Helper_00488ea0(int param_1)
0x0048afb0	CInfluenceMap__Helper_0048afb0	void __fastcall CInfluenceMap__Helper_0048afb0(int param_1)
0x0048ddd0	CParticleSet__Helper_0048ddd0	void __stdcall CParticleSet__Helper_0048ddd0(int param_1)
0x0048de00	CTokenArchive__Helper_0048de00	void __stdcall CTokenArchive__Helper_0048de00(void * param_1, int param_2)
0x0048de90	CDXLandscape__Helper_0048de90	int __fastcall CDXLandscape__Helper_0048de90(int param_1)
0x0048dea0	CDXLandscape__Helper_0048dea0	void CDXLandscape__Helper_0048dea0(void)
0x0048dec0	CResourceAccumulator__Helper_0048dec0	void CResourceAccumulator__Helper_0048dec0(void)
0x0048f180	CDXLandscape__Helper_0048f180	void __fastcall CDXLandscape__Helper_0048f180(int param_1)
0x0048f1e0	CDXPatchManager__Helper_0048f1e0	void __thiscall CDXPatchManager__Helper_0048f1e0(void * this, int param_1, int param_2)
