address	name	signature
0x0058a713	CTexture__HandleDirective_Define	int __thiscall CTexture__HandleDirective_Define(void * this, int param_1, void * param_2, void * param_3)
0x0058a981	CTexture__RemoveMacroSymbol	int __stdcall CTexture__RemoveMacroSymbol(void * param_1)
0x0058a9ef	CTexture__HandleDirective_Pragma	int __fastcall CTexture__HandleDirective_Pragma(int param_1)
0x0058aa69	CTexture__HandleDirective_IfdefIfndef	int __thiscall CTexture__HandleDirective_IfdefIfndef(void * this, int param_1, void * param_2)
0x0058aacf	CTexture__HandleDirective_If	int CTexture__HandleDirective_If(void)
0x0058b1a0	CTexture__InitPreprocessorDefaultDefines	int __thiscall CTexture__InitPreprocessorDefaultDefines(void * this, void * param_1, void * param_2)
0x0058b3c7	CTexture__ExecuteDirectiveParserAction	void __thiscall CTexture__ExecuteDirectiveParserAction(void * this, void * param_1, uint param_2, uint param_3)
0x0058b812	CTexture__RunDirectiveParser	int CTexture__RunDirectiveParser(void)
0x0058bd25	CTexture__InitializePreprocessorStateFromMemorySpan	int CTexture__InitializePreprocessorStateFromMemorySpan(void)
0x0058bd87	CTexture__GetNextTokenWithPreprocessor	uint __thiscall CTexture__GetNextTokenWithPreprocessor(void * this, int param_1, void * param_2)
0x0058c08a	CTexture__Preprocessor_PopIncludeFrameAtEof_0058c08a	int __fastcall CTexture__Preprocessor_PopIncludeFrameAtEof_0058c08a(int param_1)
0x0058c0e4	CFastVB__ResetConversionStatus	void __fastcall CFastVB__ResetConversionStatus(void * param_1)
0x0058c0ea	CTexture__TokenList_FreeChain_0058c0ea	void __fastcall CTexture__TokenList_FreeChain_0058c0ea(void * param_1)
0x0058c107	CTexture__TokenList_PushAllocatedNode_0058c107	void __thiscall CTexture__TokenList_PushAllocatedNode_0058c107(void * this, void * param_1, int param_2)
0x0058c129	CTexture__TokenList_InitState_0058c129	void __fastcall CTexture__TokenList_InitState_0058c129(void * param_1)
0x0058c149	CTexture__TokenList_ClearAndFreeBuffers_0058c149	void __fastcall CTexture__TokenList_ClearAndFreeBuffers_0058c149(void * param_1)
0x0058c178	CDXTexture__InsertOrFindKeyInSortedTable	int __thiscall CDXTexture__InsertOrFindKeyInSortedTable(void * this, int param_1, uint param_2, void * param_3)
0x0058c2b9	CTexture__AppendDiagnosticTextLine	int __thiscall CTexture__AppendDiagnosticTextLine(void * this, void * param_1, void * param_2)
0x0058c30f	CTexture__TokenList_EmitConcatenatedText_0058c30f	int __thiscall CTexture__TokenList_EmitConcatenatedText_0058c30f(void * this, void * param_1, void * param_2)
0x0058c378	CTexture__TokenList_GetCount_0058c378	int __fastcall CTexture__TokenList_GetCount_0058c378(int param_1)
0x0058c37c	CTexture__TokenList_InitState_Extended_0058c37c	void __fastcall CTexture__TokenList_InitState_Extended_0058c37c(void * param_1)
0x0058c396	CMeshCollisionVolume__Helper_0058c396	int CMeshCollisionVolume__Helper_0058c396(void)
0x0058c3fe	CTexture__SkipLineContinuationAndAdvance	int __fastcall CTexture__SkipLineContinuationAndAdvance(void * param_1)
0x0058c457	CTexture__ParseFloatingLiteral	int __thiscall CTexture__ParseFloatingLiteral(void * this, void * param_1, void * param_2, void * param_3)
0x0058c5d3	CTexture__ParseIdentifierToken	uint __thiscall CTexture__ParseIdentifierToken(void * this, void * param_1, void * param_2, void * param_3)
0x0058c652	CTexture__ParseOperatorToken	int __thiscall CTexture__ParseOperatorToken(void * this, int param_1, void * param_2, void * param_3)
0x0058c75e	CTexture__ReadTypePrefixToken_FH	int __thiscall CTexture__ReadTypePrefixToken_FH(void * this, int param_1, void * param_2, void * param_3)
0x0058c7a4	CTexture__ParseIntegerSuffix_UL	int __thiscall CTexture__ParseIntegerSuffix_UL(void * this, int param_1, void * param_2, void * param_3)
0x0058c82b	CDXTexture__SetKeyEntryModeFlags	void __thiscall CDXTexture__SetKeyEntryModeFlags(void * this, void * param_1, int param_2, uint param_3)
0x0058c893	CTexture__AppendDiagnosticMessage	void __cdecl CTexture__AppendDiagnosticMessage(void * param_1, int param_2, int param_3, int param_4)
0x0058c95c	CTexture__AppendDiagnosticMessageDedup	int __cdecl CTexture__AppendDiagnosticMessageDedup(void * param_1, int param_2, int param_3)
